Table 6
Field Centers for the Standard Star Sequences

Field Name	alpha (J2000.0)	delta (J2000.0)	FOV	No. Stars	Range in V	Range in B - V	Range in U - B	Comments	
SA107	15 38 21.01	+00 13 19.4	15 x 15	6	10.24harr12.47	+0.54harr + 1.60	+0.01harr + 1.80	SA107 970, 991, 847, 862, 1014, 871	
SA35	15 52 27.48	+44 42 47.8	60 x 40	18	9.02harr16.09	+0.16harr + 1.51	-0.09harr + 1.90	All star with 5 or more measures	
SA35 SF1	15 49 51.49	+44 31 38.6	15 x 15	3	9.95harr12.01	+0.18harr + 0.54	-0.02harr + 0.12	SA35 316, 243, 318	
SA35 SF2	15 50 36.08	+44 59 21.8	15 x 15	2	9.83harr11.54	+0.56harr + 0.92	+0.01harr + 0.66	SA35 491, 492	
SA35 SF3	15 51 53.85	+44 37 10.6	15 x 15	4	9.60harr12.78	+0.43harr + 0.56	-0.06harr + 0.03	SA35 338, 339, 341, 343	
SA35 SF4	15 52 09.32	+44 30 12.2	15 x 15	10	10.87harr16.09	+0.43harr + 1.51	-0.09harr + 1.90	SA35 339, 341, 343, 261, 262, 263, 264, 265, 266, 267	
SA35 SF5	15 53 54.34	+44 56 18.6	15 x 15	2	9.02harr9.26	+0.16harr + 1.06	+0.11harr + 1.00	SA35 518, 526	
SA35 SF6	15 54 46.80	+44 57 13.7	15 x 15	3	9.02harr12.92	+0.78harr + 1.25	+0.42harr + 1.41	SA35 526, 535, 539	
SA108	16 37 55.32	-00 28 42.9	15 x 15	3	11.86harr12.12	+0.53harr + 1.22	+0.09harr + 1.17	SA108 870, 872, 570	
KUV 433-03	16 38 27.06	+34 59 59.2	15 x 15	2	14.90harr15.58	-0.26harr + 1.22	-1.06harr + 1.27	All stars	
GD 358	16 47 20.79	+32 26 05.0	15 x 15	3	12.57harr13.65	-0.12harr + 0.94	-1.02harr + 0.75	All stars	
PG1648+536	16 49 59.88	+53 29 15.7	15 x 15	5	12.25harr14.33	-0.22harr + 0.96	-1.02harr + 0.72	All stars, except star E	
GD 363	17 38 37.20	+41 53 20.4	15 x 15	5	12.90harr15.29	-0.11harr + 1.16	-0.89harr + 1.08	All stars	
GD 378	18 23 40.51	+41 05 23.2	15 x 15	4	11.77harr14.29	-0.08harr + 0.69	-0.96harr + 0.16	All stars	
SA38	18 49 12.53	+45 15 41.5	40 x 20	16	9.85harr15.36	+0.29harr + 1.29	-0.07harr + 1.42	All star with 5 or more measures	
SA38 SF1	18 47 35.13	+45 10 43.7	15 x 15	2	10.85harr12.40	+0.44harr + 0.72	+0.02harr + 0.18	SA38 177, 178	
SA38 SF2	18 48 17.18	+45 22 56.6	15 x 15	3	9.85harr12.96	+0.29harr + 1.20	+0.07harr + 1.31	SA38 326, 358, 365	
SA38 SF3	18 49 25.49	+45 14 11.8	15 x 15	4	10.77harr11.27	+0.29harr + 1.27	+0.02harr + 1.28	SA38 253, 269, 270, 273	
SA38 SF4	18 50 37.38	+45 08 17.9	15 x 15	7	10.49harr15.46	+0.58harr + 1.29	-0.07harr + 1.41	SA38 137, 138, 309, 156, 157, 310, 312	
GD 391	20 29 50.05	+39 15 53.2	15 x 15	9	11.46harr15.01	-0.15harr + 0.99	-0.97harr + 0.61	All stars	
SA41	21 53 51.46	+45 25 45.5	20 x 30	13	9.97harr14.56	+0.22harr + 1.74	-0.20harr + 2.06	All star with 5 or more measures	
SA41 SF1	21 53 39.41	+45 35 12.1	15 x 15	8	10.04harr14.56	+0.22harr + 1.32	-0.20harr + 1.04	SA41 631, 634, 637, 639, 654, 660, 171, 673, 674	
SA41 SF2	21 54 18.29	+45 14 52.4	15 x 15	5	9.97harr11.87	+0.29harr + 1.74	+0.07harr + 2.06	SA41 171, 179, 182, 190, 204	
GD 405	23 16 44.42	+47 27 07.7	15 x 15	2	15.62harr16.75	-0.17harr + 1.06	-0.81harr + 1.33	Too few measures	

