ra,dec,searchString,canonicalName,radius,objName,objID,raMean,decMean,raMeanErr,decMeanErr,epochMean,nStackDetections,nDetections,ng,nr,ni,nz,ny,gQfPerfect,gMeanPSFMag,gMeanPSFMagErr,gMeanPSFMagStd,gMeanPSFMagNpt,gMeanPSFMagMin,gMeanPSFMagMax,gFlags,rQfPerfect,rMeanPSFMag,rMeanPSFMagErr,rMeanPSFMagStd,rMeanPSFMagNpt,rMeanPSFMagMin,rMeanPSFMagMax,rFlags,iQfPerfect,iMeanPSFMag,iMeanPSFMagErr,iMeanPSFMagStd,iMeanPSFMagNpt,iMeanPSFMagMin,iMeanPSFMagMax,iFlags,zQfPerfect,zMeanPSFMag,zMeanPSFMagErr,zMeanPSFMagStd,zMeanPSFMagNpt,zMeanPSFMagMin,zMeanPSFMagMax,zFlags,yQfPerfect,yMeanPSFMag,yMeanPSFMagErr,yMeanPSFMagStd,yMeanPSFMagNpt,yMeanPSFMagMin,yMeanPSFMagMax,yFlags
250.522430,39.896828,,Coordinates,None,PSO J250.5225+39.8968,155872505224686757,250.52246375,39.89678963,0.0044200001284480095,0.0038900000508874655,56040.38616898,10,103,19,20,32,20,12,0.9997649788856506,19.731199264526367,0.011092999950051308,0.0455779992043972,16,19.682199478149414,19.82509994506836,115000,0.9992030262947083,18.587099075317383,0.006821000017225742,0.02532999962568283,18,18.53969955444336,18.61639976501465,115000,0.9996820092201233,17.850000381469727,0.0029299999587237835,0.014983000233769417,31,17.81599998474121,17.875999450683594,115000,0.9992300271987915,17.50160026550293,0.002561999950557947,0.01305100042372942,18,17.476900100708008,17.52429962158203,115000,0.9993469715118408,17.33690071105957,0.007393999956548214,0.026055999100208282,10,17.292200088500977,17.37350082397461,115000
250.572110,39.807720,,Coordinates,None,PSO J250.5719+39.8077,155762505719029810,250.57188504,39.80765647,0.0021100000012665987,0.0024800000246614218,56012.39938657,5,92,14,16,28,17,17,0.9997509717941284,18.821300506591797,0.005135999992489815,0.0242490004748106,13,18.767900466918945,18.85540008544922,115000,0.9992300271987915,17.66080093383789,0.0030739998910576105,0.011522999964654446,14,17.633699417114258,17.675899505615234,115000,0.9996950030326843,17.032899856567383,0.003186000045388937,0.01537100039422512,23,17.005699157714844,17.063600540161133,115000,0.9992899894714355,16.745100021362305,0.004104000050574541,0.010208000428974628,16,16.726600646972656,16.765600204467773,115000,0.9992809891700745,16.60420036315918,0.009092000313103199,0.0289280004799366,13,16.556499481201172,16.629899978637695,115000
250.945040,39.852491,,Coordinates,None,PSO J250.9448+39.8525,155822509447933645,250.9447762,39.85252175,0.01607999950647354,0.003640000009909272,56819.90381944,5,105,17,19,31,18,20,0.9997130036354065,19.671499252319336,0.010733000002801418,0.04696200042963028,16,19.578699111938477,19.746599197387695,115000,0.9992619752883911,18.48080062866211,0.006521000061184168,0.024914000183343887,16,18.445499420166016,18.519399642944336,115000,0.9997900128364563,17.644899368286133,0.0023250000085681677,0.01764100044965744,28,17.587200164794922,17.662799835205078,115000,0.9995650053024292,17.26810073852539,0.0034759999252855778,0.015219000168144703,17,17.243200302124023,17.301000595092773,115000,0.9997770190238953,17.066699981689453,0.009052000008523464,0.03446900099515915,20,17.001100540161133,17.1117000579834,115000
250.522430,39.896828,,Coordinates,None,PSO J250.5225+39.8968,155872505224686757,250.52246375,39.89678963,0.0044200001284480095,0.0038900000508874655,56040.38616898,10,103,19,20,32,20,12,0.9997649788856506,19.731199264526367,0.011092999950051308,0.0455779992043972,16,19.682199478149414,19.82509994506836,115000,0.9992030262947083,18.587099075317383,0.006821000017225742,0.02532999962568283,18,18.53969955444336,18.61639976501465,115000,0.9996820092201233,17.850000381469727,0.0029299999587237835,0.014983000233769417,31,17.81599998474121,17.875999450683594,115000,0.9992300271987915,17.50160026550293,0.002561999950557947,0.01305100042372942,18,17.476900100708008,17.52429962158203,115000,0.9993469715118408,17.33690071105957,0.007393999956548214,0.026055999100208282,10,17.292200088500977,17.37350082397461,115000
250.479370,39.906194,,Coordinates,None,PSO J250.4794+39.9063,155882504794178111,250.47939999,39.90627462,0.006670000031590462,0.010660000145435333,55973.33364583,5,105,22,18,33,19,13,0.9997169971466064,17.732799530029297,0.0031820000149309635,0.012063000351190567,21,17.7052001953125,17.752399444580078,115000,0.999763011932373,17.484399795532227,0.0026569999754428864,0.00992599967867136,17,17.464500427246094,17.500999450683594,115000,0.999692976474762,17.394100189208984,0.001972000114619732,0.019849000498652458,30,17.325000762939453,17.42460060119629,115000,0.9992740154266357,17.382699966430664,0.004112000111490488,0.014041000045835972,19,17.360300064086914,17.423500061035156,115000,0.9996529817581177,17.36680030822754,0.012641999870538712,0.04215800017118454,11,17.280899047851562,17.429899215698242,115000
250.945040,39.852491,,Coordinates,None,PSO J250.9448+39.8525,155822509447933645,250.9447762,39.85252175,0.01607999950647354,0.003640000009909272,56819.90381944,5,105,17,19,31,18,20,0.9997130036354065,19.671499252319336,0.010733000002801418,0.04696200042963028,16,19.578699111938477,19.746599197387695,115000,0.9992619752883911,18.48080062866211,0.006521000061184168,0.024914000183343887,16,18.445499420166016,18.519399642944336,115000,0.9997900128364563,17.644899368286133,0.0023250000085681677,0.01764100044965744,28,17.587200164794922,17.662799835205078,115000,0.9995650053024292,17.26810073852539,0.0034759999252855778,0.015219000168144703,17,17.243200302124023,17.301000595092773,115000,0.9997770190238953,17.066699981689453,0.009052000008523464,0.03446900099515915,20,17.001100540161133,17.1117000579834,115000
250.643485,39.659022,,Coordinates,None,PSO J250.6437+39.6592,155592506437351616,250.64373743,39.65915354,0.0055599999614059925,0.002859999891370535,56926.96077546,5,87,15,15,28,14,15,0.9997209906578064,19.390399932861328,0.012536000460386276,0.04461799934506416,14,19.35930061340332,19.488800048828125,115000,0.9987549781799316,18.788000106811523,0.00456599984318018,0.028957000002264977,11,18.742000579833984,18.847900390625,115000,0.9999390244483948,18.53860092163086,0.006161999888718128,0.029103999957442284,26,18.47570037841797,18.60420036315918,115000,0.9994109869003296,18.45490074157715,0.012458999641239643,0.05342400074005127,14,18.393999099731445,18.61910057067871,115000,0.999472975730896,18.42799949645996,0.03541700169444084,0.17856700718402863,15,18.265600204467773,18.976600646972656,115000
250.971807,39.817448,,Coordinates,None,PSO J250.9718+39.8174,155782509718081458,250.97179599,39.81736464,0.0047599999234080315,0.002469999948516488,56882.59118056,5,102,17,18,31,17,19,0.9990590214729309,19.61359977722168,0.012078000232577324,0.05628100037574768,15,19.535600662231445,19.77790069580078,115000,0.9995359778404236,18.653900146484375,0.004625000059604645,0.022029999643564224,17,18.614200592041016,18.70639991760254,115000,0.9996849894523621,18.24920082092285,0.003619000082835555,0.032214000821113586,26,18.17180061340332,18.337499618530273,115000,0.9990490078926086,18.069400787353516,0.009473999962210655,0.02027999982237816,14,18.018699645996094,18.093000411987305,115000,0.999193012714386,17.967500686645508,0.011335999704897404,0.06136799976229668,16,17.85300064086914,18.107500076293945,115000
250.971807,39.817448,,Coordinates,None,PSO J250.9718+39.8174,155782509718081458,250.97179599,39.81736464,0.0047599999234080315,0.002469999948516488,56882.59118056,5,102,17,18,31,17,19,0.9990590214729309,19.61359977722168,0.012078000232577324,0.05628100037574768,15,19.535600662231445,19.77790069580078,115000,0.9995359778404236,18.653900146484375,0.004625000059604645,0.022029999643564224,17,18.614200592041016,18.70639991760254,115000,0.9996849894523621,18.24920082092285,0.003619000082835555,0.032214000821113586,26,18.17180061340332,18.337499618530273,115000,0.9990490078926086,18.069400787353516,0.009473999962210655,0.02027999982237816,14,18.018699645996094,18.093000411987305,115000,0.999193012714386,17.967500686645508,0.011335999704897404,0.06136799976229668,16,17.85300064086914,18.107500076293945,115000
250.459335,39.898775,,Coordinates,None,PSO J250.4592+39.8988,155872504592599112,250.45923932,39.89877868,0.010540000163018703,0.011989999562501907,56087.39038194,5,104,18,17,35,19,15,0.999754011631012,18.309499740600586,0.004273000173270702,0.019456999376416206,16,18.27560043334961,18.347299575805664,115000,0.9996799826622009,17.77519989013672,0.0034199999645352364,0.013647000305354595,15,17.74839973449707,17.796499252319336,115000,0.9996880292892456,17.534799575805664,0.002403999911621213,0.01819399930536747,32,17.480199813842773,17.576799392700195,115000,0.9997130036354065,17.431900024414062,0.0036909999325871468,0.01435799989849329,19,17.417699813842773,17.46269989013672,115000,0.9993259906768799,17.368099212646484,0.009006000123918056,0.03664400056004524,15,17.31410026550293,17.45639991760254,115000
