,Star,RA_hhmmss,DEC_ddmmss,V,B-V,U-B,V-R,R-I,V-I,n,m,e_V,e_B-V,e_U-B,e_V-R,e_R-I,e_V-I,RA_deg,DEC_deg,R,dxy_deg
42,SA 38-298,18 50 31.101,+45 09 37.03,15.220999999999998,0.594,0.11599999999999999,0.386,+0.361,+0.749,1,1, ... , ... , ... , ... , ... , ... ,282.6295874999999,45.16028611111111,14.834999999999999,95.06455026420436
43,SA 38-253,18 49 04.397,+45 14 13.70,10.774000000000001,0.35700000000000004,0.025,0.223,+0.204,+0.428,9,4,0.0006,0.0005,0.0005,0.0005,0.0012,0.0006,282.2683208333333,45.23713888888889,10.551,95.10962446593061
44,SA 38-138,18 50 25.534,+45 06 06.38,14.319,0.7140000000000001,0.27,0.38799999999999996,+0.369,+0.762,9,5,0.0016,0.0018,0.0065,0.0014,0.0014,0.0027,282.60639166666664,45.10177222222222,13.931000000000001,95.16121281973292
45,SA 38-270,18 49 40.787,+45 09 07.01,10.927,0.289,0.085,0.16399999999999998,+0.173,+0.320,10,5,0.0016,0.0012,0.0025,0.0007,0.0007,0.0005,282.41994583333326,45.15194722222222,10.763,95.17901869443608
46,SA 38-273,18 49 46.591,+45 13 32.23,10.870999999999999,1.2690000000000001,1.285,0.675,+0.617,+1.298,9,4,0.0006,0.0006,0.0015,0.0010,0.0005,0.0007,282.44412916666664,45.22561944444445,10.195999999999998,95.18911581667257
47,SA 38-137,18 50 24.265,+45 06 09.47,13.517000000000001,0.736,0.317,0.41100000000000003,+0.370,+0.785,7,4,0.0013,0.0014,0.0014,0.0035,0.0040,0.0007,282.6011041666666,45.10263055555556,13.106000000000002,95.1902478941683
48,SA 38-269,18 49 37.723,+45 14 24.01,11.27,1.157,1.2,0.62,+0.548,+1.168,9,4,0.0011,0.0012,0.0007,0.0007,0.0005,0.0007,282.40717916666665,45.24000277777778,10.65,95.24607730266246
49,SA 38-377,18 48 47.755,+45 20 23.44,10.450999999999999,0.9670000000000001,0.778,0.521,+0.458,+0.976,4,2,0.0006,0.0007,0.0031,0.0025,0.0018,0.0018,282.1989791666666,45.339844444444445,9.929999999999998,95.32290208766007
50,SA 38-365,18 48 32.505,+45 25 10.85,11.625,1.205,1.3090000000000002,0.616,+0.546,+1.160,8,4,0.0006,0.0014,0.0006,0.0005,0.0006,0.0010,282.1354375,45.41968055555555,11.009,96.7536288339364
51,SA 38-358,18 48 23.004,+45 23 22.35,9.854,1.1320000000000001,1.186,0.583,+0.509,+1.095,9,4,0.0006,0.0015,0.0025,0.0018,0.0008,0.0012,282.09585,45.389541666666666,9.270999999999999,96.76502251177783
52,SA 38-326,18 47 40.515,+45 24 39.37,9.947000000000001,0.287,0.071,0.171,+0.193,+0.349,8,4,0.0007,0.0016,0.0013,0.0018,0.0007,0.0006,281.9188125,45.41093611111111,9.776000000000002,96.77967911644616
53,SA 38-178,18 47 35.701,+45 10 34.03,12.405,0.7240000000000001,0.175,0.43,+0.416,+0.845,12,6,0.0009,0.0009,0.0028,0.0010,0.0007,0.0006,281.89875416666666,45.176119444444446,11.975,96.79434924542811
54,SA 38-177,18 47 34.575,+45 10 53.55,10.85,0.442,0.015,0.27,+0.262,+0.533,12,7,0.0005,0.0005,0.0025,0.0010,0.0010,0.0012,281.89406249999996,45.18154166666667,10.58,97.33473824182678
55,GD 378B,18 23 45.477,+41 05 47.88,13.392999999999999,0.69,0.156,0.409,+0.402,+0.809,14,5,0.0562,0.0035,0.0068,0.0019,0.0022,0.0034,275.9394874999999,41.09663333333334,12.983999999999998,98.07966103861324
56,SA 38-391,18 49 07.115,+45 19 16.77,8.575,1.266,1.4409999999999998,0.6579999999999999,+0.577,+1.235,2,1,0.0014,0.0021,0.0057,0.0035,0.0035,0.0007,282.2796458333333,45.321325,7.917,98.47081493610453
57,GD 378C,18 23 50.120,+41 06 43.94,11.770999999999999,0.612,0.13699999999999998,0.355,+0.339,+0.697,10,4,0.0008,0.0006,0.0009,0.0004,0.0014,0.0014,275.9588333333333,41.112205555555555,11.415999999999999,99.71095405611752
58,GD 378A,18 23 30.902,+41 04 10.27,13.475,0.617,0.14,0.348,+0.330,+0.682,16,8,0.0018,0.0017,0.0011,0.0010,0.0011,0.0011,275.8787583333333,41.069519444444445,13.126999999999999,101.30837661452077
59,GD 378,18 23 37.012,+41 04 02.55,14.288,-0.08,-0.9620000000000001,-0.036000000000000004,-0.043,-0.091,17,8,0.0005,0.0009,0.0020,0.0017,0.0037,0.0032,275.9042166666666,41.067375000000006,14.324,105.71227273836308
60,PG1648+536C,16 50 07.599,+53 28 49.30,13.52,0.9570000000000001,0.722,0.5489999999999999,+0.483,+1.031,10,5,0.0024,0.0007,0.0060,0.0007,0.0017,0.0013,252.53166249999995,53.480361111111115,12.971,108.53202892582509
61,PG1648+536D,16 50 11.586,+53 26 59.73,12.245999999999999,0.637,0.10300000000000001,0.37200000000000005,+0.361,+0.733,7,4,0.0026,0.0038,0.0064,0.0015,0.0019,0.0026,252.54827499999993,53.44992499999999,11.873999999999999,108.56250673397739
62,PG1648+536B,16 50 01.154,+53 29 14.64,14.047,0.611,0.052000000000000005,0.377,+0.372,+0.751,10,5,0.0007,0.0067,0.0042,0.0039,0.0026,0.0041,252.50480833333327,53.4874,13.67,108.76128773172233
63,PG1648+536E,16 49 48.175,+53 31 30.23,15.152000000000001,0.6679999999999999,0.172,0.40700000000000003,+0.326,+0.736,2,1,0.0007,0.0113,0.0071,0.0120,0.0184,0.0304,252.4507291666666,53.52506388888889,14.745000000000001,108.76287938223554
64,GD 358B,16 47 23.224,+32 23 37.16,12.57,0.677,0.215,0.37799999999999995,+0.361,+0.735,11,6,0.0020,0.0010,0.0013,0.0016,0.0028,0.0025,251.84676666666667,32.393655555555554,12.192,108.76972304442039
65,PG1648+536,16 49 59.853,+53 31 31.75,14.05,-0.215,-1.024,-0.09,-0.126,-0.214,13,6,0.0026,0.0014,0.0028,0.0025,0.0042,0.0034,252.49938749999995,53.52548611111111,14.14,108.7699504911951
66,GD 358A,16 47 22.314,+32 25 31.30,13.495999999999999,0.943,0.747,0.569,+0.485,+1.056,12,6,0.0022,0.0025,0.0022,0.0018,0.0011,0.0023,251.842975,32.42536111111111,12.927,108.77479726155035
67,PG1648+536A,16 49 57.450,+53 30 18.56,14.329,0.7440000000000001,0.299,0.415,+0.387,+0.799,13,6,0.0051,0.0025,0.0057,0.0032,0.0037,0.0054,252.48937499999997,53.505155555555554,13.914000000000001,108.78944783396366
68,SA 35-526,15 54 19.828,+44 55 06.78,9.024,1.055,1.002,0.541,+0.496,+1.035,6,3,0.0011,0.0029,0.0050,0.0019,0.0008,0.0023,238.58261666666664,44.918549999999996,8.482999999999999,108.79806640155428
69,KUV 433-03,16 38 26.317,+35 00 11.86,14.902000000000001,-0.255,-1.062,-0.111,-0.148,-0.255,7,3,0.0007,0.0007,0.0007,0.0018,0.0007,0.0027,249.60965416666662,35.00329444444444,15.013000000000002,108.80029795825978
70,SA 35-518,15 53 28.862,+44 57 30.75,9.258,0.156,0.107,0.062,+0.086,+0.157,5,3,0.0013,0.0011,0.0011,0.0007,0.0019,0.0016,238.37025833333328,44.95854166666667,9.196,108.80316172093627
71,SA 35-267,15 52 24.277,+44 26 00.06,16.093,0.596,-0.008,0.354,+0.345,+0.698,8,4,0.0021,0.0021,0.0076,0.0038,0.0117,0.0097,238.10115416666665,44.43335,15.739,108.81192287532117
72,GD 358,16 47 18.358,+32 28 32.93,13.652999999999999,-0.12300000000000001,-1.0190000000000001,-0.099,-0.097,-0.199,13,6,0.0095,0.0036,0.0041,0.0040,0.0029,0.0060,251.82649166666664,32.475813888888894,13.751999999999999,108.81590256618762
73,SA 35-539,15 55 13.789,+44 58 15.44,12.92,0.778,0.42,0.45,+0.407,+0.858,12,6,0.0010,0.0018,0.0013,0.0007,0.0012,0.0015,238.80745416666664,44.970955555555555,12.47,108.82706639779876
74,KUV 433-03A,16 38 27.812,+34 59 46.59,15.578,1.2229999999999999,1.274,0.741,+0.613,+1.356,5,2,0.0010,0.0073,0.0063,0.0018,0.0014,0.0006,249.6158833333333,34.996275000000004,14.837,108.84499326508475
75,SA 35-535,15 55 00.665,+44 59 20.41,9.12,1.251,1.413,0.66,+0.581,+1.241,4,3,0.0025,0.0011,0.0038,0.0011,0.0006,0.0011,238.7527708333333,44.98900277777778,8.459999999999999,108.85584993034749
76,SA 35-266,15 52 23.534,+44 30 23.32,12.913,1.056,0.9790000000000001,0.569,+0.506,+1.075,10,5,0.0007,0.0014,0.0007,0.0010,0.0017,0.0017,238.0980583333333,44.506477777777775,12.344000000000001,108.85855509251962
77,SA 35-265,15 52 13.784,+44 28 55.85,16.039,0.517,-0.091,0.363,+0.341,+0.677,8,4,0.0046,0.0063,0.0041,0.0007,0.0091,0.0116,238.0574333333333,44.48218055555556,15.676000000000002,108.86544556703662
78,SA 35-264,15 52 12.896,+44 28 30.81,13.775,0.828,0.499,0.457,+0.401,+0.857,6,3,0.0045,0.0029,0.0086,0.0020,0.0029,0.0045,238.05373333333333,44.475225,13.318,108.93547056753802
79,SA 35-261,15 52 04.173,+44 24 58.31,12.126,1.508,1.8980000000000001,0.86,+0.884,+1.740,25,11,0.0009,0.0006,0.0031,0.0007,0.0006,0.0004,238.01738749999998,44.41619722222222,11.266,108.99568560085144
80,SA 35-262,15 52 05.049,+44 26 00.66,12.835,0.499,-0.032,0.299,+0.307,+0.609,19,10,0.0006,0.0008,0.0006,0.0009,0.0014,0.0012,238.02103749999998,44.43351666666666,12.536000000000001,109.01075630807357
81,SA 35-492,15 50 38.980,+45 00 37.36,9.829,0.556,0.013000000000000001,0.332,+0.329,+0.658,10,5,0.0008,0.0009,0.0011,0.0013,0.0020,0.0006,237.66241666666664,45.01037777777778,9.497,109.04442756866601
82,SA 35-338,15 51 50.503,+44 41 51.75,9.605,0.371,-0.015,0.221,+0.225,+0.456,12,6,0.0012,0.0004,0.0011,0.0011,0.0017,0.0004,237.96042916666664,44.69770833333333,9.384,109.06039511172621
83,SA 35-263,15 52 05.068,+44 30 01.39,13.552,0.833,0.503,0.46399999999999997,+0.423,+0.894,8,4,0.0018,0.0007,0.0037,0.0019,0.0007,0.0022,238.02111666666667,44.50038611111111,13.088,109.06403108218899
84,SA 35-339,15 51 54.385,+44 32 29.14,12.775,0.5539999999999999,0.027999999999999997,0.336,+0.329,+0.662,4,2,0.0020,0.0030,0.0044,0.0032,0.0007,0.0027,237.97660416666662,44.54142777777778,12.439,109.06521061687255
85,SA 35-318,15 50 01.814,+44 33 04.74,11.807,0.18,0.124,0.129,+0.159,+0.286,19,10,0.0012,0.0010,0.0006,0.0009,0.0004,0.0010,237.50755833333332,44.551316666666665,11.678,109.12854263962089
86,SA 35-343,15 51 57.200,+44 35 26.22,10.87,0.433,-0.063,0.271,+0.254,+0.529,11,6,0.0007,0.0012,0.0013,0.0018,0.0005,0.0010,237.9883333333333,44.59061666666667,10.598999999999998,109.12954580817792
87,SA 35-341,15 51 56.722,+44 33 24.64,12.565,0.5589999999999999,0.006999999999999999,0.337,+0.330,+0.670,18,9,0.0022,0.0011,0.0021,0.0013,0.0009,0.0018,237.98634166666665,44.556844444444444,12.228,109.13563024318289
88,SA 35-491,15 50 33.186,+44 58 06.22,11.539000000000001,0.915,0.6629999999999999,0.509,+0.457,+0.964,13,7,0.0010,0.0009,0.0039,0.0014,0.0009,0.0015,237.63827499999996,44.96839444444445,11.030000000000001,109.14819343409837
89,SA 35-245,15 49 49.958,+44 31 19.49,7.686,0.111,0.10099999999999999,0.055,+0.046,+0.097,2,1,0.0021,0.0035,0.0014,0.0035,0.0014,0.0014,237.4581583333333,44.522080555555554,7.631,109.2200188900776
90,SA 35-316,15 49 41.176,+44 35 23.77,9.953,0.462,0.061,0.282,+0.279,+0.559,16,8,0.0012,0.0006,0.0006,0.0010,0.0009,0.0007,237.42156666666662,44.589936111111115,9.671,109.2249804714801
91,SA 35-243,15 49 49.168,+44 27 53.56,12.011,0.542,-0.016,0.319,+0.319,+0.648,8,4,0.0005,0.0022,0.0006,0.0007,0.0011,0.0014,237.45486666666665,44.46487777777778,11.691999999999998,109.240469155149
92,PG1430+427B,14 32 46.756,+42 32 19.21,12.039000000000001,0.9,0.664,0.483,+0.428,+0.910,7,4,0.0034,0.0015,0.0042,0.0023,0.0008,0.0026,218.19481666666664,42.538669444444444,11.556000000000001,109.24490467582373
93,PG1430+427,14 32 33.889,+42 30 19.07,14.218,-0.14800000000000002,-0.669,-0.057999999999999996,-0.067,-0.130,12,6,0.0012,0.0012,0.0018,0.0024,0.0014,0.0014,218.14120416666663,42.505297222222225,14.276,109.35688994729655
94,PG1430+427A,14 32 39.438,+42 30 40.02,11.907,0.759,0.402,0.419,+0.378,+0.794,9,5,0.0007,0.0025,0.0019,0.0012,0.0014,0.0013,218.16432499999996,42.511116666666666,11.488,109.40775355026321
95,GD 363,17 38 35.667,+41 52 31.69,15.286,-0.10800000000000001,-0.894,-0.126,-0.153,-0.272,21,12,0.0017,0.0017,0.0025,0.0022,0.0150,0.0122,264.64861249999996,41.87546944444445,15.411999999999999,111.09584213193413
96,GD 363D,17 38 47.885,+41 54 09.16,13.804,0.586,-0.011000000000000001,0.35,+0.357,+0.705,11,6,0.0014,0.0011,0.0031,0.0021,0.0042,0.0052,264.6995208333333,41.902544444444445,13.454,111.1242761927699
97,GD 363A,17 38 35.039,+41 53 58.16,12.9,1.013,0.8340000000000001,0.542,+0.497,+1.040,21,12,0.0006,0.0011,0.0015,0.0010,0.0010,0.0021,264.6459958333333,41.89948888888889,12.358,111.14736648064823
98,GD 363B,17 38 33.790,+41 53 30.66,15.058,1.163,1.075,0.73,+0.635,+1.371,23,13,0.0022,0.0034,0.0218,0.0021,0.0034,0.0033,264.64079166666664,41.89185,14.328,111.1477168916419
99,GD 363C,17 38 26.523,+41 53 20.52,15.504000000000001,0.59,0.009000000000000001,0.34600000000000003,+0.294,+0.641,14,7,0.0041,0.0028,0.0072,0.0055,0.0193,0.0241,264.61051249999997,41.88903333333333,15.158000000000001,111.17556091635605
100,PG1430+427C,14 32 20.592,+42 30 24.07,11.421,0.45399999999999996,-0.109,0.281,+0.281,+0.561,9,5,0.0013,0.0021,0.0007,0.0011,0.0017,0.0006,218.08579999999998,42.50668611111111,11.139999999999999,112.91117619573588
101,GD 336,14 31 56.628,+37 06 30.07,15.283,-0.27,-1.149,-0.147,-0.215,-0.366,15,7,0.0031,0.0024,0.0024,0.0030,0.0102,0.0088,217.98594999999997,37.10835277777778,15.43,112.9238960283473
102,GD 336B,14 31 46.324,+37 07 46.67,12.985,0.6459999999999999,0.155,0.368,+0.348,+0.716,15,8,0.0016,0.0012,0.0023,0.0010,0.0014,0.0013,217.94301666666667,37.12963055555556,12.616999999999999,112.92849475277764
103,GD 336C,14 32 03.469,+37 04 19.95,13.627,0.562,0.006,0.32799999999999996,+0.325,+0.655,15,8,0.0016,0.0019,0.0035,0.0013,0.0031,0.0029,218.01445416666664,37.072208333333336,13.299000000000001,112.93792669273226
104,GD 336A,14 31 50.878,+37 05 17.40,13.424000000000001,0.359,-0.054000000000000006,0.217,+0.218,+0.436,15,8,0.0028,0.0018,0.0024,0.0014,0.0023,0.0029,217.96199166666665,37.088166666666666,13.207,112.95106329177032
105,PG1343+578,13 45 01.414,+57 30 12.84,13.809000000000001,0.013999999999999999,-0.59,0.065,+0.059,+0.123,1,1, ... , ... , ... , ... , ... , ... ,206.25589166666666,57.503566666666664,13.744000000000002,116.36875621582706
106,GD 325B,13 36 27.776,+48 29 30.70,11.972000000000001,0.675,0.16399999999999998,0.40399999999999997,+0.385,+0.784,8,4,0.0008,0.0022,0.0007,0.0011,0.0011,0.0012,204.1157333333333,48.49186111111111,11.568000000000001,116.39857076893765
107,GD 325C,13 36 31.813,+48 30 17.74,12.977,0.469,-0.012,0.299,+0.297,+0.587,8,4,0.0012,0.0007,0.0013,0.0007,0.0013,0.0021,204.13255416666664,48.50492777777778,12.678,116.39875204499408
108,GD 325A,13 36 08.189,+48 28 57.62,14.094000000000001,0.858,0.51,0.502,+0.467,+0.965,9,4,0.0028,0.0007,0.0021,0.0025,0.0028,0.0036,204.0341208333333,48.48267222222223,13.592,116.42748506208392
109,GD 325,13 36 01.794,+48 28 46.15,13.968,0.032,-0.953,0.23399999999999999,+0.776,+1.005,9,4,0.0012,0.0040,0.0012,0.0031,0.0014,0.0013,204.00747499999997,48.479486111111115,13.734,116.44469861321917
110,PG1343+578A,13 45 04.743,+57 32 11.27,13.878,0.591,0.081,0.35600000000000004,+0.339,+0.696,1,1, ... , ... , ... , ... , ... , ... ,206.26976249999998,57.53646388888889,13.522,120.35894144542648
111,PG1314+442,13 16 33.109,+43 59 05.46,15.243,-0.135,-0.993,0.021,+0.034,+0.053,5,3,0.0027,0.0107,0.0045,0.0018,0.0040,0.0040,199.13795416666665,43.98485,15.222,123.66869541714736
112,PG1314+442A,13 16 31.974,+43 58 14.74,15.383,0.7070000000000001,0.162,0.41,+0.409,+0.818,5,3,0.0040,0.0058,0.0192,0.0067,0.0076,0.0094,199.133225,43.970761111111116,14.972999999999999,123.72109708595991
113,SA 32-64,12 58 36.649,+43 43 35.26,11.831,0.603,0.017,0.33399999999999996,+0.344,+0.680,3,1,0.0012,0.0017,0.0035,0.0029,0.0006,0.0035,194.65270416666664,43.726461111111114,11.497,123.76472408111617
114,SA 32-62,12 58 30.288,+43 43 19.21,9.788,1.0859999999999999,0.938,0.55,+0.514,+1.068,1,1, ... , ... , ... , ... , ... , ... ,194.62619999999998,43.72200277777778,9.238,123.76795760713006
115,SA 32-113,12 57 25.835,+43 56 32.95,10.834000000000001,0.9059999999999999,0.639,0.531,+0.461,+0.998,20,11,0.0022,0.0010,0.0018,0.0011,0.0004,0.0012,194.3576458333333,43.94248611111111,10.303,123.76838428619807
116,SA 32-178,12 57 25.633,+44 02 02.82,11.312999999999999,0.805,0.46299999999999997,0.457,+0.421,+0.874,25,13,0.0007,0.0008,0.0010,0.0007,0.0006,0.0005,194.35680416666665,44.03411666666666,10.855999999999998,123.94740163000125
117,SA 32-177,12 57 17.140,+44 01 00.49,11.377,0.601,0.015,0.358,+0.346,+0.706,25,13,0.0007,0.0007,0.0016,0.0004,0.0009,0.0009,194.32141666666664,44.01680277777778,11.019,137.50238342158784
118,SA 32-176,12 57 03.215,+44 00 33.80,10.212,1.071,0.9840000000000001,0.561,+0.501,+1.071,24,13,0.0013,0.0006,0.0012,0.0009,0.0004,0.0008,194.2633958333333,44.009388888888886,9.651,137.57054758151259
119,GD 153,12 57 02.325,+22 01 52.66,13.349,-0.289,-1.177,-0.139,-0.180,-0.320,4,2,0.0040,0.0035,0.0050,0.0065,0.0085,0.0025,194.25968749999996,22.031294444444445,13.488,137.69352945164093
120,SA 32-175,12 57 00.485,+44 05 02.78,13.544,1.063,0.977,0.652,+0.546,+1.197,12,6,0.0013,0.0018,0.0077,0.0009,0.0019,0.0019,194.25202083333332,44.08410555555556,12.892000000000001,137.93753849701667
121,SA 32-174,12 56 55.284,+44 05 00.64,12.433,0.721,0.16899999999999998,0.431,+0.415,+0.843,10,5,0.0007,0.0008,0.0006,0.0009,0.0006,0.0009,194.23035,44.083511111111115,12.002,137.97762693000314
122,SA 32-109,12 56 40.337,+43 56 33.74,11.890999999999998,0.536,-0.043,0.325,+0.329,+0.650,22,11,0.0011,0.0008,0.0011,0.0004,0.0009,0.0010,194.16807083333333,43.942705555555555,11.565999999999999,144.42725544137136
123,SA 32-221,12 56 36.794,+44 14 59.60,11.429,0.682,0.235,0.37799999999999995,+0.345,+0.728,16,9,0.0005,0.0023,0.0032,0.0014,0.0005,0.0015,194.1533083333333,44.24988888888889,11.051,144.44621435282963
124,SA 32-172,12 56 35.217,+44 02 25.52,14.469000000000001,0.642,0.063,0.368,+0.371,+0.737,4,2,0.0015,0.0025,0.0090,0.0020,0.0065,0.0080,194.14673749999997,44.04042222222222,14.101,144.45803145777592
125,SA 32-220,12 56 34.353,+44 15 02.31,13.094000000000001,0.6459999999999999,0.098,0.38,+0.363,+0.744,7,4,0.0005,0.0017,0.0035,0.0013,0.0009,0.0016,194.1431375,44.25064166666667,12.714,144.46095208905433
126,SA 32-107,12 56 34.300,+43 54 33.99,13.673,0.747,0.312,0.42100000000000004,+0.399,+0.821,13,6,0.0024,0.0022,0.0040,0.0012,0.0013,0.0019,194.14291666666665,43.909441666666666,13.252,144.46723675478225
127,SA 32-105,12 56 29.185,+43 54 07.17,13.372,0.632,0.138,0.364,+0.341,+0.706,13,6,0.0016,0.0015,0.0051,0.0017,0.0013,0.0021,194.12160416666666,43.90199166666667,13.008,144.47753808373307
128,SA 32-106,12 56 32.000,+43 56 45.10,13.265999999999998,0.685,0.135,0.39899999999999997,+0.394,+0.795,13,6,0.0021,0.0024,0.0057,0.0019,0.0012,0.0025,194.1333333333333,43.94586111111111,12.866999999999999,144.47868422320434
129,SA 32-166,12 56 08.942,+44 00 55.03,16.316,0.522,-0.165,0.409,+0.337,+0.895,5,3,0.0175,0.0190,0.0242,0.0233,0.0111,0.0250,194.0372583333333,44.01528611111111,15.906999999999998,145.08425717502382
130,SA 32-212,12 56 03.313,+44 15 28.14,9.317,1.159,1.131,0.609,+0.546,+1.156,15,8,0.0010,0.0012,0.0025,0.0008,0.0005,0.0011,194.01380416666666,44.25781666666666,8.708,145.08833711202075
131,SA 32-167,12 56 11.417,+44 00 32.42,13.51,0.39799999999999996,-0.032,0.24100000000000002,+0.241,+0.477,10,5,0.0006,0.0019,0.0007,0.0008,0.0027,0.0034,194.0475708333333,44.009005555555554,13.269,145.08899050027884
132,SA 32-282,12 56 02.614,+44 26 49.25,10.152000000000001,0.48,0.03,0.28300000000000003,+0.280,+0.571,11,6,0.0006,0.0005,0.0007,0.0012,0.0016,0.0005,194.01089166666665,44.44701388888888,9.869000000000002,145.0944363386857
133,SA 32-379,12 55 50.119,+44 42 22.67,11.174000000000001,1.0390000000000001,0.8740000000000001,0.547,+0.495,+1.041,17,9,0.0008,0.0011,0.0018,0.0005,0.0006,0.0006,193.95882916666665,44.706297222222226,10.627,145.0972442113682
134,SA 32-330,12 55 26.396,+44 33 35.57,10.068,0.665,0.19,0.37799999999999995,+0.342,+0.721,11,6,0.0013,0.0008,0.0019,0.0005,0.0007,0.0017,193.8599833333333,44.55988055555555,9.69,145.1027124803019
135,SA 32-377,12 55 45.397,+44 40 38.60,10.63,0.6409999999999999,0.10099999999999999,0.37200000000000005,+0.358,+0.735,11,6,0.0006,0.0006,0.0007,0.0011,0.0008,0.0009,193.93915416666664,44.677388888888885,10.258000000000001,145.1048538388105
136,SA 32-272,12 55 10.338,+44 17 28.83,8.961,0.488,-0.106,0.304,+0.308,+0.613,11,6,0.0020,0.0008,0.0033,0.0011,0.0016,0.0019,193.793075,44.29134166666667,8.657,145.1120134518478
137,SA 32-271,12 55 08.586,+44 23 13.45,11.209000000000001,0.639,0.121,0.37,+0.353,+0.722,12,6,0.0006,0.0004,0.0027,0.0010,0.0014,0.0011,193.78577499999997,44.38706944444444,10.839000000000002,152.7787023830223
138,PG1210+533A,12 13 24.431,+53 02 27.15,14.460999999999999,0.614,0.051,0.35600000000000004,+0.359,+0.717,3,2,0.0035,0.0006,0.0023,0.0075,0.0081,0.0040,183.3517958333333,53.040875,14.104999999999999,152.7811353797293
139,PG1210+533,12 13 24.643,+53 03 57.27,14.135,-0.311,-1.205,-0.146,-0.196,-0.337,5,2,0.0031,0.0040,0.0031,0.0058,0.0072,0.0045,183.35267916666666,53.06590833333333,14.281,152.7896131299463
140,SA 32-270,12 55 07.557,+44 23 14.09,12.515999999999998,0.7170000000000001,0.23399999999999999,0.40299999999999997,+0.395,+0.797,6,3,0.0030,0.0034,0.0044,0.0022,0.0022,0.0009,193.78148749999997,44.38724722222222,12.112999999999998,152.7898083531174
141,PG1210+533B,12 13 18.722,+53 02 53.73,11.5,0.648,0.14400000000000002,0.37200000000000005,+0.349,+0.723,3,2,0.0023,0.0023,0.0040,0.0017,0.0012,0.0012,183.32800833333332,53.04825833333333,11.128,152.80396054053386
142,GD 314B,12 05 18.007,+60 36 47.89,10.831,0.927,0.659,0.51,+0.468,+0.980,13,7,0.0006,0.0008,0.0009,0.0006,0.0005,0.0006,181.32502916666667,60.61330277777778,10.321,152.8073652340314
143,GD 314C,12 04 01.598,+60 37 48.53,13.707,0.529,-0.027999999999999997,0.32799999999999996,+0.334,+0.659,8,4,0.0023,0.0029,0.0021,0.0017,0.0069,0.0064,181.0066583333333,60.63014722222222,13.379000000000001,152.8369017290881
144,GD 314A,12 05 04.878,+60 35 11.92,12.435,0.8540000000000001,0.441,0.479,+0.462,+0.942,13,7,0.0009,0.0015,0.0017,0.0010,0.0005,0.0005,181.27032499999999,60.586644444444445,11.956000000000001,152.84271039794803
145,GD 314E,12 03 47.219,+60 32 08.59,15.014000000000001,0.8029999999999999,0.406,0.47700000000000004,+0.436,+0.918,7,3,0.0014,0.0054,0.0021,0.0035,0.0028,0.0014,180.94674583333332,60.535719444444446,14.537,152.85239375498216
146,GD 314,12 04 38.536,+60 32 08.08,13.568,-0.344,-1.25,-0.149,-0.179,-0.328,14,7,0.0009,0.0010,0.0011,0.0020,0.0025,0.0028,181.16056666666665,60.535577777777775,13.716999999999999,152.86112368963126
147,KUV 352-09,11 36 24.386,+39 29 33.88,12.967,-0.146,-0.6459999999999999,-0.065,-0.075,-0.154,7,3,0.0014,0.0038,0.0037,0.0026,0.0066,0.0014,174.1016083333333,39.49274444444445,13.032,152.86306428030005
148,PG1126+469A,11 29 36.579,+46 35 44.99,12.77,0.639,0.149,0.365,+0.350,+0.720,1,1, ... , ... , ... , ... , ... , ... ,172.40241249999997,46.59583055555556,12.405,152.8659337739863
149,GD 314D,12 04 02.198,+60 34 57.98,14.538,1.339,1.202,0.8220000000000001,+0.740,+1.575,7,3,0.0014,0.0047,0.0035,0.0007,0.0007,0.0063,181.00915833333332,60.582772222222225,13.716000000000001,152.87176406807455
150,PG1126+469B,11 29 14.264,+46 34 22.59,12.727,0.584,0.048,0.32799999999999996,+0.336,+0.668,1,1, ... , ... , ... , ... , ... , ... ,172.30943333333332,46.57294166666667,12.399000000000001,152.87290557840217
151,GD 310B,11 29 35.454,+38 08 12.60,14.2,0.978,0.8320000000000001,0.595,+0.541,+1.137,16,8,0.0013,0.0014,0.0052,0.0016,0.0027,0.0029,172.39772499999998,38.136833333333335,13.604999999999999,152.8757322459293
152,GD 310A,11 29 29.898,+38 09 14.09,14.057,0.54,-0.073,0.341,+0.356,+0.698,15,8,0.0012,0.0015,0.0018,0.0016,0.0021,0.0025,172.37457499999996,38.15391388888889,13.716000000000001,152.8758400609957
153,GD 111A,10 05 45.210,+42 46 49.44,14.290999999999999,0.723,0.24100000000000002,0.409,+0.381,+0.792,1,1, ... , ... , ... , ... , ... , ... ,151.43837499999998,42.7804,13.881999999999998,152.88312998105428
154,GD 310C,11 29 25.990,+38 06 12.01,13.911,0.892,0.6679999999999999,0.496,+0.426,+0.924,15,8,0.0017,0.0013,0.0033,0.0011,0.0022,0.0028,172.35829166666664,38.10333611111111,13.415,152.88491541244792
155,PG1126+469,11 29 28.671,+46 35 31.75,14.574000000000002,-0.136,-0.6859999999999999,-0.073,-0.081,-0.147,1,1, ... , ... , ... , ... , ... , ... ,172.36946249999997,46.59215277777778,14.647000000000002,152.8873082392635
156,KUV 348-14B,10 05 17.296,+38 47 35.05,14.425,0.621,0.075,0.355,+0.366,+0.721,2,1,0.0071,0.0021,0.0042,0.0035,0.0078,0.0113,151.32206666666664,38.79306944444444,14.07,152.8889232846903
