,Star,RA_hhmmss,DEC_ddmmss,V,B-V,U-B,V-R,R-I,V-I,n,m,e_V,e_B-V,e_U-B,e_V-R,e_R-I,e_V-I,RA_deg,DEC_deg,R,dxy_deg
295,GD 418,01 23 24.123,+64 54 17.02,14.950999999999999,0.785,0.08,0.51,+0.503,+1.013,1,1, ... , ... , ... , ... , ... , ... ,20.850512499999997,64.90472777777778,14.440999999999999,239.93150142143674
296,GD 10A,01 06 58.606,+39 30 53.12,13.694,0.8240000000000001,0.45299999999999996,0.461,+0.422,+0.880,7,4,0.0006,0.0007,0.0017,0.0013,0.0005,0.0007,16.744191666666666,39.51475555555555,13.233,240.0379209726414
297,GD 10C,01 07 05.379,+39 31 28.37,14.388,0.522,-0.037000000000000005,0.307,+0.328,+0.632,6,3,0.0019,0.0037,0.0022,0.0039,0.0060,0.0065,16.772412499999998,39.524547222222225,14.081,240.0539446240188
298,GD 273,01 06 20.426,+56 04 56.53,15.694,0.084,-0.665,-0.069,-0.084,-0.152,2,1,0.0071,0.0028,0.0177,0.0481,0.0269,0.0233,16.585108333333334,56.082369444444446,15.763000000000002,240.0693547445443
299,GD 10,01 06 53.995,+39 30 56.92,15.456,0.198,-0.621,0.054000000000000006,+0.127,+0.155,10,4,0.0007,0.0032,0.0029,0.0028,0.0110,0.0120,16.724979166666667,39.51581111111111,15.402,240.07241569434223
300,GD 10B,01 07 00.369,+39 31 35.07,14.194,0.5720000000000001,0.013000000000000001,0.332,+0.334,+0.668,8,4,0.0018,0.0019,0.0022,0.0016,0.0040,0.0048,16.751537499999998,39.52640833333333,13.862,240.07483954367976
301,SA 20-346,00 47 21.152,+45 53 42.01,14.875,0.53,-0.036000000000000004,0.34,+0.317,+0.648,21,9,0.0013,0.0027,0.0047,0.0020,0.0043,0.0043,11.838133333333332,45.895002777777776,14.535,240.0780628436916
302,SA 20-343,00 47 15.351,+45 55 13.18,14.124,0.73,0.289,0.41200000000000003,+0.384,+0.803,12,6,0.0017,0.0023,0.0023,0.0026,0.0007,0.0034,11.813962499999997,45.92032777777778,13.712,240.0822112503939
303,SA 20-342,00 47 15.064,+45 54 09.59,14.65,0.9229999999999999,0.556,0.516,+0.460,+0.976,15,7,0.0007,0.0029,0.0058,0.0007,0.0007,0.0014,11.812766666666665,45.90266388888889,14.134,240.08816449483692
304,SA 20-456,00 47 12.443,+46 10 57.01,9.543,0.09,0.067,0.04,+0.041,+0.080,14,7,0.0006,0.0010,0.0019,0.0006,0.0006,0.0010,11.801845833333331,46.18250277777778,9.503,240.11340778282616
305,SA 20-345,00 47 19.094,+45 53 29.19,14.405999999999999,0.755,0.28600000000000003,0.41200000000000003,+0.382,+0.797,17,8,0.0026,0.0043,0.0055,0.0024,0.0027,0.0028,11.829558333333331,45.891441666666665,13.993999999999998,240.11557990737626
306,SA 20-208,00 47 10.514,+45 52 33.54,12.628,0.606,0.01,0.359,+0.361,+0.722,9,4,0.0009,0.0010,0.0035,0.0013,0.0022,0.0014,11.793808333333333,45.87598333333333,12.269,240.15640835087268
307,SA 20-338,00 47 08.418,+45 54 16.58,12.475,0.515,0.023,0.303,+0.301,+0.608,10,5,0.0022,0.0016,0.0031,0.0005,0.0018,0.0018,11.785074999999999,45.904605555555555,12.171999999999999,240.1811407806504
