|Unnamed: 0|Star|RAh|RAm|RAs|DEd|DEm|DEs|V|B-V|U-B|V-R|R-I|V-I|n|m|e_V|e_B-V|e_U-B|e_V-R|e_R-I|e_V-I|RA_deg|DEC_deg|RA_hhmmss|DEC_ddmmss|R|dxy_deg
142|375|107 568|15.0|37.0|52.713|0.0|17.0|17.51|13.054|1.149|0.862|0.625|0.595|1.217|15|7|0.0015|0.0028|0.0039|0.0021|0.0028|0.0028|234.4696375|0.2881972222222222|15 37 52.713|0 17 17.51|12.429|42.742043422679586
143|374|107 970|15.0|37.0|25.83|0.0|18.0|33.82|10.939|1.596|1.75|1.142|1.435|2.574|57|47|0.0074|0.0017|0.0061|0.002|0.0033|0.004|234.357625|0.3093944444444444|15 37 25.83|0 18 33.82|9.797|42.76524106683178
144|373|107 544|15.0|36.0|48.097|0.0|15.0|7.07|9.036|0.399|0.156|0.232|0.22699999999999998|0.45799999999999996|54|39|0.001|0.0006|0.0011|0.0006|0.0006|0.0008|234.20040416666663|0.2519638888888889|15 36 48.097|0 15 7.07|8.804|42.87871090669833
145|378|107 720|15.0|38.0|36.978|0.0|2.0|24.92|13.121|0.599|0.08800000000000001|0.374|0.355|0.731|2|1|0.0057|0.0028|0.0106|0.0099|0.0028|0.0078|234.65407499999995|0.040255555555555565|15 38 36.978|0 2 24.92|12.746999999999998|42.9018943044672
146|406|HD 149382|16.0|34.0|23.333|-4.0|0.0|52.02|8.943|-0.282|-1.143|-0.127|-0.135|-0.262|57|48|0.0008|0.0008|0.0022|0.0004|0.0007|0.0008|248.5972208333333|-4.01445|16 34 23.333000000000002|-4 0 52.02|9.07|43.877325808953934
147|441|G21 15|18.0|27.0|13.08|4.0|3.0|46.7|13.889|0.092|-0.598|-0.039|-0.03|-0.069|19|9|0.0046|0.0053|0.0067|0.0046|0.0094|0.0094|276.8045|4.062972222222221|18 27 13.08|4 3 46.7|13.927999999999999|44.237624198551366
148|432|BD -4 4226|17.0|5.0|13.783|-5.0|5.0|39.21|10.071|1.415|1.085|0.97|1.141|2.113|6|3|0.0033|0.0012|0.0029|0.0004|0.0008|0.0012|256.3074291666666|-5.094225|17 5 13.783|-5 5 39.21|9.101|45.247706991113226
149|821|GD 325C|||||||12.977|0.469|-0.012|0.299|+0.297|+0.587|8|4|0.0012|0.0007|0.0013|0.0007|0.0013|0.0021|204.13255416666664|48.50492777777777|13 36 31.813|+48 30 17.74|12.677999999999999|47.41642168266108
150|820|GD 325B|||||||11.972|0.675|0.16399999999999998|0.404|+0.385|+0.784|8|4|0.0008|0.0022|0.0007|0.0011|0.0011|0.0012|204.1157333333333|48.491861111111106|13 36 27.776|+48 29 30.70|11.568|47.43056397561302
151|819|GD 325A|||||||14.094|0.858|0.51|0.502|+0.467|+0.965|9|4|0.0028|0.0007|0.0021|0.0025|0.0028|0.0036|204.03412083333333|48.48267222222222|13 36 08.189|+48 28 57.62|13.592|47.50912183910538
152|818|GD 325|||||||13.968|0.032|-0.953|0.234|+0.776|+1.005|9|4|0.0012|0.0040|0.0012|0.0031|0.0014|0.0013|204.007475|48.479486111111115|13 36 01.794|+48 28 46.15|13.734000000000002|47.534739046852415
153|823|PG1343+578A|||||||13.878|0.591|0.081|0.35600000000000004|+0.339|+0.696|1|1| ... | ... | ... | ... | ... | ... |206.2697625|57.536463888888896|13 45 04.743|+57 32 11.27|13.522|47.87759836005926
154|822|PG1343+578|||||||13.809|0.014|-0.59|0.065|+0.059|+0.123|1|1| ... | ... | ... | ... | ... | ... |206.25589166666663|57.50356666666666|13 45 01.414|+57 30 12.84|13.744000000000002|47.8783169294906
155|425|Wolf 629|16.0|55.0|25.223000000000006|-8.0|19.0|21.3|11.759|1.676|1.256|1.185|1.525|2.715|7|4|0.0042|0.003|0.0034|0.0017|0.0013|0.0013|253.8550958333333|-8.322583333333332|16 55 25.223000000000003|-8 19 21.3|10.574000000000002|48.2332355832991
156|359|106 485|14.0|44.0|14.083|0.0|37.0|6.69|9.477|0.378|-0.052000000000000005|0.233|0.23600000000000002|0.46799999999999997|47|36|0.0009|0.0007|0.001|0.0004|0.0004|0.0006|221.05867916666665|0.618525|14 44 14.083|0 37 6.69|9.244|49.16575160021508
157|449|110 477|18.0|41.0|43.2|0.0|26.0|42.78|13.988|1.345|0.715|0.85|0.857|1.7069999999999999|21|11|0.0072|0.0131|0.0375|0.0031|0.0039|0.0063|280.42999999999995|0.4452166666666667|18 41 43.2|0 26 42.78|13.138|49.303217555059355
158|448|110 340|18.0|41.0|28.448|0.0|15.0|23.0|10.025|0.308|0.124|0.171|0.183|0.354|111|92|0.0008|0.0006|0.0014|0.0004|0.0006|0.0007|280.36853333333335|0.2563888888888889|18 41 28.448|0 15 23.0|9.854|49.417242470474655
159|463|110 496|18.0|42.0|59.294|0.0|31.0|9.13|13.004|1.04|0.737|0.607|0.6809999999999999|1.287|9|4|0.0027|0.006|0.023|0.002|0.0023|0.0043|280.7470583333333|0.5192027777777778|18 42 59.294|0 31 9.13|12.397000000000002|49.43593914241302
160|465|110 497|18.0|43.0|2.506|0.0|30.0|56.79|14.196|1.052|0.38|0.606|0.597|1.203|5|2|0.0054|0.0063|0.0143|0.0067|0.0045|0.0063|280.7604416666666|0.515775|18 43 2.506|0 30 56.79|13.59|49.4467864172977
161|470|110 504|18.0|43.0|11.712|0.0|30.0|4.57|14.022|1.248|1.3230000000000002|0.797|0.6829999999999999|1.482|5|2|0.0013|0.0063|0.0268|0.0036|0.0063|0.008|280.7987999999999|0.5012694444444444|18 43 11.712|0 30 4.57|13.225|49.48160295089547
162|469|110 503|18.0|43.0|11.696|0.0|29.0|42.95|11.773|0.6709999999999999|0.506|0.373|0.436|0.8079999999999999|26|14|0.0031|0.002|0.0051|0.0018|0.0016|0.0022|280.7987333333333|0.4952638888888889|18 43 11.696|0 29 42.95|11.4|49.48633351092642
163|442|110 229|18.0|40.0|45.662|0.0|1.0|49.78|13.649|1.91|1.391|1.198|1.155|2.356|30|16|0.0031|0.0091|0.0225|0.0018|0.002|0.0026|280.19025833333336|0.03049444444444444|18 40 45.662|0 1 49.78|12.450999999999999|49.49196298757694
164|471|110 506|18.0|43.0|18.927|0.0|30.0|27.14|11.312|0.568|0.059|0.335|0.312|0.652|2|1|0.0021|0.0021|0.0064|0.0007|0.0042|0.0042|280.8288624999999|0.5075388888888889|18 43 18.927|0 30 27.14|10.977|49.494889302705616
165|467|110 499|18.0|43.0|7.6629999999999985|0.0|28.0|1.47|11.737|0.987|0.639|0.6|0.674|1.273|23|13|0.0031|0.0029|0.0071|0.0019|0.0017|0.0029|280.7819291666666|0.467075|18 43 7.662999999999999|0 28 1.47|11.137|49.498532489122255
166|443|110 230|18.0|40.0|51.489|0.0|2.0|23.28|14.281|1.084|0.728|0.624|0.596|1.218|21|11|0.0031|0.005|0.0116|0.002|0.0044|0.005|280.21453749999995|0.0398|18 40 51.489|0 2 23.28|13.656999999999998|49.49893476769599
167|447|110 339|18.0|41.0|26.51|0.0|8.0|25.4|13.607|0.988|0.7759999999999999|0.563|0.46799999999999997|1.036|1|1|||||||280.3604583333333|0.1403888888888889|18 41 26.51|0 8 25.4|13.044|49.505307359415475
168|444|110 232|18.0|40.0|52.34|0.0|1.0|54.78|12.515999999999998|0.7290000000000001|0.147|0.439|0.45|0.889|28|16|0.0032|0.0028|0.0045|0.0015|0.0019|0.0025|280.2180833333333|0.03188333333333333|18 40 52.34|0 1 54.78|12.076999999999998|49.50740657468761
169|472|110 507|18.0|43.0|19.126|0.0|29.0|26.0|12.44|1.141|0.83|0.633|0.579|1.206|2|1|0.0049|0.0057|0.0057|0.0042||0.0049|280.82969166666663|0.4905555555555556|18 43 19.125999999999998|0 29 26.0|11.807|49.50888029748926
