|Unnamed: 0|Star|RAh|RAm|RAs|DEd|DEm|DEs|V|B-V|U-B|V-R|R-I|V-I|n|m|e_V|e_B-V|e_U-B|e_V-R|e_R-I|e_V-I|RA_deg|DEC_deg|RA_hhmmss|DEC_ddmmss|R|dxy_deg
246|791|SA 32-271|||||||11.209|0.639|0.121|0.37|+0.353|+0.722|12|6|0.0006|0.0004|0.0027|0.0010|0.0014|0.0011|193.785775|44.387069444444435|12 55 08.586|+44 23 13.45|10.839000000000002|57.142806498812156
247|790|SA 32-270|||||||12.515999999999998|0.7170000000000001|0.234|0.403|+0.395|+0.797|6|3|0.0030|0.0034|0.0044|0.0022|0.0022|0.0009|193.7814875|44.38724722222222|12 55 07.557|+44 23 14.09|12.112999999999998|57.147094463612305
248|483|111 1925|19.0|37.0|28.639|0.0|25.0|2.74|12.387|0.396|0.264|0.226|0.256|0.483|30|17|0.0015|0.0012|0.0038|0.0005|0.001|0.0009|294.36932916666666|0.4174277777777778|19 37 28.639|0 25 2.74|12.161|58.77821642721212
249|484|111 1965|19.0|37.0|41.557|0.0|26.0|50.94|11.419|1.71|1.865|0.951|0.877|1.83|16|8|0.0018|0.0037|0.009|0.001|0.001|0.0012|294.4231541666666|0.4474833333333333|19 37 41.556999999999995|0 26 50.94|10.468|58.7980504598808
250|486|111 2039|19.0|38.0|4.578|0.0|32.0|12.54|12.395|1.369|1.237|0.7390000000000001|0.6890000000000001|1.43|8|4|0.0021|0.0028|0.012|0.0021|0.0021|0.0021|294.519075|0.5368166666666666|19 38 4.578|0 32 12.54|11.656|58.80964538025702
251|485|111 1969|19.0|37.0|43.288|0.0|25.0|48.55|10.382|1.959|2.306|1.177|1.222|2.4|58|47|0.0017|0.0014|0.0054|0.0008|0.0009|0.0013|294.43036666666666|0.4301527777777778|19 37 43.288000000000004|0 25 48.55|9.205|58.81501088852012
252|487|111 2088|19.0|38.0|21.254|0.0|31.0|0.26|13.193|1.61|1.6780000000000002|0.888|0.818|1.7080000000000002|8|4|0.0014|0.0042|0.011|0.0018|0.0014|0.0018|294.58855833333325|0.516738888888889|19 38 21.254|0 31 0.26|12.305|58.87478072775324
253|488|111 2093|19.0|38.0|23.462|0.0|31.0|25.44|12.538|0.637|0.28300000000000003|0.37|0.397|0.7659999999999999|8|4|0.0025|0.0035|0.0071|0.0032|0.0021|0.0039|294.59775833333333|0.5237333333333334|19 38 23.462|0 31 25.44|12.168|58.87696483198713
254|482|111 775|19.0|37.0|16.357|0.0|12.0|5.56|10.748|1.741|2.017|0.965|0.897|1.8630000000000002|79|66|0.001|0.0007|0.0037|0.0006|0.0005|0.0009|294.31815416666666|0.20154444444444444|19 37 16.357|0 12 5.56|9.783|58.88524025851653
255|481|111 773|19.0|37.0|15.832|0.0|10.0|58.24|8.965|0.209|-0.209|0.121|0.145|0.265|80|61|0.0009|0.0006|0.0003|0.0004|0.0006|0.0006|294.31596666666667|0.1828444444444444|19 37 15.832|0 10 58.24|8.844|58.8962019900737
256|348|32376437|13.0|42.0|23.215|1.0|30.0|25.71|10.584|0.499|0.005|0.304|0.301|0.606|10|8|0.0016|0.0016|0.0028|0.0006|0.0009|0.0016|205.59672916666665|1.5071416666666666|13 42 23.215|1 30 25.71|10.28|59.207234314620024
257|809|GD 153|||||||13.349|-0.289|-1.177|-0.139|-0.180|-0.320|4|2|0.0040|0.0035|0.0050|0.0065|0.0085|0.0025|194.2596875|22.03129444444445|12 57 02.325|+22 01 52.66|13.488|59.217250667264125
258|347|BD +2 2711|13.0|42.0|19.004|1.0|30.0|18.68|10.369000000000002|-0.163|-0.6990000000000001|-0.07200000000000001|-0.095|-0.168|94|78|0.0007|0.0006|0.0011|0.0005|0.0006|0.0008|205.57918333333333|1.5051888888888894|13 42 19.004|1 30 18.68|10.440999999999999|59.2218779671214
259|349|HD 121968|13.0|58.0|51.167|-2.0|54.0|52.33|10.255999999999998|-0.185|-0.915|-0.07400000000000001|-0.1|-0.17300000000000001|90|75|0.0006|0.0006|0.001|0.0004|0.0005|0.0006|209.7131958333333|-2.914536111111111|13 58 51.167|-2 54 52.33|10.329999999999998|59.23697050839009
260|346|105 815|13.0|40.0|2.492|0.0|2.0|18.76|11.451|0.381|-0.247|0.267|0.292|0.5589999999999999|61|51|0.0008|0.0007|0.001|0.0005|0.0005|0.0006|205.01038333333332|0.03854444444444445|13 40 2.492|0 2 18.76|11.184000000000001|60.60895918908952
261|345|105 437|13.0|37.0|16.748|0.0|37.0|56.33|12.535|0.248|0.067|0.136|0.14300000000000002|0.27899999999999997|7|3|0.006|0.0038|0.0094|0.0053|0.0026|0.0076|204.31978333333333|0.6323138888888891|13 37 16.748|0 37 56.33|12.399|60.74712830271092
262|344|105 505|13.0|35.0|24.773000000000003|0.0|23.0|20.74|10.27|1.422|1.218|0.91|0.861|1.771|6|3|0.0061|0.0102|0.0053|0.0053|0.0033|0.0069|203.8532208333333|0.3890944444444445|13 35 24.773000000000003|0 23 20.74|9.36|61.26066151141131
263|343|G14 55|13.0|28.0|21.082|-2.0|21.0|37.07|11.336|1.491|1.157|1.078|1.3880000000000001|2.4619999999999997|5|2|0.0058|0.0049|0.0076|0.0067|0.0013|0.0063|202.08784166666663|-2.3602972222222225|13 28 21.081999999999997|-2 21 37.07|10.258|64.38848074699149
264|788|PG1210+533A|||||||14.461|0.614|0.051|0.35600000000000004|+0.359|+0.717|3|2|0.0035|0.0006|0.0023|0.0075|0.0081|0.0040|183.3517958333333|53.040875|12 13 24.431|+53 02 27.15|14.105|68.67963796283938
265|789|PG1210+533|||||||14.135|-0.311|-1.205|-0.146|-0.196|-0.337|5|2|0.0031|0.0040|0.0031|0.0058|0.0072|0.0045|183.35267916666663|53.06590833333333|12 13 24.643|+53 03 57.27|14.280999999999999|68.6835981055762
266|787|PG1210+533B|||||||11.5|0.648|0.14400000000000002|0.3720000000000001|+0.349|+0.723|3|2|0.0023|0.0023|0.0040|0.0017|0.0012|0.0012|183.3280083333333|53.04825833333333|12 13 18.722|+53 02 53.73|11.128|68.70440229397727
267|342|PG1323-086D|13.0|26.0|5.252000000000002|-8.0|50.0|36.19|12.08|0.5870000000000001|0.005|0.34600000000000003|0.335|0.684|15|6|0.0023|0.0018|0.0036|0.0013|0.0026|0.0031|201.5218833333333|-8.843386111111112|13 26 5.252000000000001|-8 50 36.19|11.734000000000002|69.21050660263401
268|340|PG1323-086C|13.0|25.0|50.222|-8.0|48.0|38.94|14.003|0.7070000000000001|0.245|0.395|0.363|0.759|26|13|0.0031|0.0027|0.0076|0.0024|0.0041|0.0049|201.45925833333328|-8.810816666666668|13 25 50.222|-8 48 38.94|13.607999999999999|69.23218295423733
269|339|PG1323-086A|13.0|25.0|49.722|-8.0|50.0|23.53|13.591|0.393|-0.019|0.252|0.252|0.506|20|12|0.0257|0.0022|0.0045|0.0027|0.0047|0.006|201.457175|-8.839869444444446|13 25 49.722|-8 50 23.53|13.339|69.25407221221376
270|341|PG1323-086B|13.0|25.0|50.651|-8.0|50.0|55.1|13.406|0.7609999999999999|0.265|0.426|0.40700000000000003|0.833|23|13|0.0019|0.0029|0.0042|0.0023|0.0023|0.0031|201.4610458333333|-8.848638888888889|13 25 50.651|-8 50 55.1|12.98|69.25747836498029
271|338|PG1323-086|13.0|25.0|39.468|-8.0|49.0|19.12|13.481|-0.14|-0.6809999999999999|-0.048|-0.078|-0.127|39|18|0.0019|0.0022|0.0026|0.0018|0.0045|0.0045|201.41445|-8.821977777777779|13 25 39.468|-8 49 19.12|13.529000000000002|69.27192392104726
272|303|G12 43|12.0|33.0|17.38|9.0|1.0|15.8|12.467|1.846|1.085|1.53|1.944|3.4789999999999996|13|6|0.0042|0.0053|0.0466|0.0053|0.0039|0.0033|188.32241666666664|9.021055555555558|12 33 17.38|9 1 15.8|10.937|69.60283841235444
273|337|104 598|12.0|45.0|16.779|0.0|16.0|40.47|11.478|1.108|1.051|0.667|0.545|1.214|88|76|0.001|0.0008|0.0023|0.0004|0.0004|0.0005|191.3199125|0.2779083333333333|12 45 16.779|0 16 40.47|10.811|71.37330914476851
274|335|104 485|12.0|44.0|23.81|0.0|30.0|16.38|15.017|0.838|0.493|0.478|0.488|0.9670000000000001|2|1|0.0113|0.0339|0.0226|0.0014|0.0113|0.0099|191.0992083333333|0.50455|12 44 23.81|0 30 16.38|14.539|71.43221051937404
275|334|104 484|12.0|44.0|20.526|0.0|30.0|54.29|14.406|1.024|0.732|0.514|0.486|1.0|2|1|0.0071|0.0184|0.0134|0.0057|0.0064|0.012|191.085525|0.5150805555555555|12 44 20.526|0 30 54.29|13.892000000000001|71.43784348655103
276|336|104 490|12.0|44.0|33.454|0.0|25.0|51.78|12.572|0.535|0.048|0.318|0.312|0.63|12|8|0.0029|0.0032|0.0052|0.0023|0.0023|0.0026|191.13939166666665|0.43105|12 44 33.454|0 25 51.78|12.254|71.43914980709692
277|333|104 367|12.0|43.0|58.453|0.0|33.0|33.87|15.844|0.639|-0.126|0.382|0.29600000000000004|0.679|2|1|0.0255|0.0212|0.0156|0.0177|0.0042|0.0226|190.99355416666666|0.5594083333333334|12 43 58.453|0 33 33.87|15.462000000000002|71.4903212422394
278|331|104 366|12.0|43.0|53.17|0.0|34.0|45.4|12.908|0.87|0.424|0.517|0.46399999999999997|0.982|1|1|||||||190.97154166666667|0.5792777777777778|12 43 53.17|0 34 45.4|12.390999999999998|71.49781592557028
279|489|112 595|20.0|41.0|18.463|0.0|16.0|28.06|11.352|1.601|1.991|0.898|0.903|1.801|75|66|0.0014|0.0009|0.0035|0.0005|0.0007|0.0008|310.3269291666666|0.2744611111111111|20 41 18.463|0 16 28.06|10.454|71.50585348572494
280|332|104 479|12.0|43.0|55.279|0.0|32.0|49.39|16.087|1.271|0.6729999999999999|0.657|0.607|1.264|2|1|0.0339|0.0276|0.3995|0.0028|0.0035|0.0071|190.98032916666665|0.5470527777777777|12 43 55.278999999999996|0 32 49.39|15.43|71.50815839620893
281|330|104 364|12.0|43.0|45.986|0.0|34.0|31.63|15.799|0.601|-0.131|0.314|0.397|0.7120000000000001|2|1|0.0156|0.0488|0.0559|0.0085|0.041|0.0495|190.94160833333333|0.5754527777777778|12 43 45.986000000000004|0 34 31.63|15.485|71.5249407383002
282|490|112 704|20.0|42.0|2.066|0.0|19.0|8.22|11.452|1.536|1.742|0.8220000000000001|0.746|1.57|19|12|0.003|0.0023|0.0076|0.0021|0.0018|0.0025|310.5086083333333|0.31895|20 42 2.066|0 19 8.22|10.63|71.63277078734255
283|328|104 350|12.0|43.0|14.204|0.0|33.0|20.54|13.634|0.6729999999999999|0.165|0.383|0.353|0.736|14|7|0.0043|0.0035|0.0056|0.0032|0.0045|0.0061|190.80918333333332|0.5557055555555556|12 43 14.204|0 33 20.54|13.251|71.64651812788905
284|329|104 470|12.0|43.0|22.314|0.0|29.0|52.83|14.31|0.732|0.101|0.295|0.35600000000000004|0.649|3|1|0.0121|0.0092|0.0202|0.0133|0.0035|0.015|190.842975|0.4980083333333333|12 43 22.314|0 29 52.83|14.015|71.64989272827434
285|322|104 244|12.0|42.0|34.235|0.0|45.0|47.06|16.011|0.59|-0.152|0.338|0.489|0.825|2|2|0.0092|0.0057|0.0113|0.0035|0.0269|0.029|190.6426458333333|0.7630722222222223|12 42 34.235|0 45 47.06|15.673|71.67270915818128
286|312|104 237|12.0|42.0|16.874000000000002|0.0|51.0|18.21|15.395|1.088|0.918|0.647|0.628|1.274|1|1|||||||190.57030833333332|0.8550583333333334|12 42 16.874000000000002|0 51 18.21|14.748|71.68334980414366
287|327|104 461|12.0|43.0|6.0310000000000015|0.0|32.0|18.01|9.705|0.476|-0.035|0.28800000000000003|0.289|0.579|112|90|0.0005|0.0006|0.0009|0.0004|0.0005|0.0005|190.77512916666663|0.5383361111111111|12 43 6.031000000000001|0 32 18.01|9.417|71.6845228067869
288|318|104 239|12.0|42.0|22.91|0.0|46.0|35.6|13.936|1.356|1.291|0.868|0.805|1.675|7|3|0.006|0.0087|0.0231|0.0045|0.003|0.0057|190.59545833333328|0.7765555555555556|12 42 22.91|0 46 35.6|13.068|71.70494287865847
289|321|104 339|12.0|42.0|33.298|0.0|41.0|39.88|15.459|0.8320000000000001|0.7090000000000001|0.476|0.374|0.8490000000000001|1|1|||||||190.63874166666665|0.6944111111111111|12 42 33.298|0 41 39.88|14.982999999999999|71.71341099067764
290|324|104 456|12.0|42.0|53.505|0.0|32.0|0.91|12.362|0.622|0.135|0.35700000000000004|0.337|0.6940000000000001|4|2|0.0025|0.0025|0.0045|0.0035|0.0065|0.008|190.7229375|0.5335861111111111|12 42 53.505|0 32 0.91|12.005|71.73079181935958
291|326|104 460|12.0|43.0|2.86|0.0|28.0|19.0|12.895|1.281|1.246|0.813|0.695|1.511|36|28|0.0019|0.0014|0.0026|0.0006|0.001|0.0015|190.76191666666665|0.4719444444444445|12 43 2.86|0 28 19.0|12.082|71.73196467139354
292|320|104 338|12.0|42.0|30.142|0.0|38.0|32.39|16.059|0.591|-0.08199999999999999|0.348|0.37200000000000005|0.7190000000000001|8|5|0.0078|0.0219|0.0368|0.0088|0.0209|0.017|190.62559166666665|0.6423305555555555|12 42 30.142|0 38 32.39|15.710999999999999|71.75284905808863
293|325|104 457|12.0|42.0|54.195|0.0|28.0|48.68|16.048|0.753|0.522|0.484|0.49|0.9740000000000001|9|4|0.0107|0.0187|0.077|0.0183|0.037|0.0213|190.7258125|0.4801888888888889|12 42 54.195|0 28 48.68|15.563999999999998|71.75763903702556
294|319|104 336|12.0|42.0|24.64|0.0|39.0|58.0|14.404000000000002|0.83|0.495|0.461|0.40299999999999997|0.865|14|6|0.0067|0.0072|0.0123|0.0059|0.0099|0.0104|190.60266666666664|0.6661111111111111|12 42 24.64|0 39 58.0|13.943|71.7590833470269
295|316|104 334|12.0|42.0|20.425|0.0|40.0|28.35|13.484000000000002|0.518|-0.067|0.32299999999999995|0.331|0.653|24|16|0.0047|0.0031|0.0039|0.0029|0.0031|0.0047|190.58510416666664|0.6745416666666666|12 42 20.425|0 40 28.35|13.161|71.76920584509794
296|491|112 223|20.0|42.0|14.583|0.0|8.0|59.7|11.424|0.454|0.016|0.273|0.27399999999999997|0.547|87|79|0.0007|0.0006|0.0015|0.0005|0.0007|0.001|310.5607624999999|0.14991666666666667|20 42 14.583|0 8 59.7|11.151000000000002|71.76955961213734
297|310|104 330|12.0|42.0|11.418|0.0|40.0|41.44|15.296|0.594|-0.028|0.369|0.371|0.7390000000000001|15|6|0.0103|0.0276|0.0155|0.0124|0.0214|0.0225|190.547575|0.6781777777777778|12 42 11.418|0 40 41.44|14.927|71.79868541303956
298|323|104 455|12.0|42.0|52.11600000000001|0.0|24.0|17.43|15.105|0.581|-0.024|0.36|0.35700000000000004|0.716|13|7|0.0067|0.0144|0.0122|0.0053|0.0089|0.0122|190.71715|0.4048416666666667|12 42 52.11600000000001|0 24 17.43|14.745|71.80620565612246
299|494|112 805|20.0|42.0|46.753|0.0|16.0|8.08|12.086|0.151|0.158|0.064|0.075|0.139|95|86|0.0006|0.0007|0.0017|0.0006|0.0012|0.0016|310.69480416666664|0.2689111111111111|20 42 46.753|0 16 8.08|12.021999999999998|71.81572736865836
300|492|112 250|20.0|42.0|26.386|0.0|7.0|42.5|12.095|0.532|-0.025|0.317|0.32299999999999995|0.639|18|12|0.0021|0.0019|0.0042|0.0019|0.0019|0.0026|310.60994166666666|0.1284722222222222|20 42 26.386|0 7 42.5|11.777999999999999|71.82239854601298
301|309|104 325|12.0|42.0|2.21|0.0|41.0|35.93|15.581|0.6940000000000001|0.051|0.345|0.307|0.652|2|1|0.0163|0.0431|0.0219|0.0255|0.0148|0.0403|190.50920833333333|0.6933138888888889|12 42 2.21|0 41 35.93|15.236|71.8226110747493
302|313|104 L2|12.0|42.0|19.621|0.0|34.0|23.9|16.048|0.65|-0.172|0.344|0.32299999999999995|0.667|4|2|0.019|0.0265|0.045|0.0295|0.0755|0.1|190.58175416666663|0.5733055555555555|12 42 19.621|0 34 23.9|15.704|71.82726598144703
303|317|104 335|12.0|42.0|20.894|0.0|33.0|8.19|11.665|0.622|0.145|0.35700000000000004|0.33399999999999996|0.691|4|2|0.0095|0.001|0.002|0.0035|0.0045|0.007|190.58705833333332|0.5522750000000001|12 42 20.894000000000002|0 33 8.19|11.308|71.83431441637119
304|315|104 444|12.0|42.0|20.021|0.0|32.0|28.17|13.477|0.512|-0.07|0.313|0.331|0.643|2|1|0.0014|0.0099|0.0085|0.0021|0.0014|0.0007|190.58342083333332|0.5411583333333333|12 42 20.021|0 32 28.17|13.164000000000001|71.84343637221943
305|495|112 822|20.0|42.0|54.915|0.0|15.0|1.9|11.548|1.03|0.883|0.5579999999999999|0.502|1.06|70|61|0.0007|0.0008|0.0022|0.0005|0.0007|0.0008|310.72881249999995|0.2505277777777778|20 42 54.915|0 15 1.9|10.99|71.85423844212433
306|493|112 275|20.0|42.0|35.424|0.0|7.0|20.22|9.905|1.21|1.294|0.648|0.569|1.217|113|98|0.0001|0.0004|0.0016|0.0004|0.0005|0.0007|310.6475999999999|0.12228333333333335|20 42 35.424|0 7 20.22|9.257|71.85720833557512
307|314|104 443|12.0|42.0|19.813|0.0|25.0|21.21|15.372|1.331|1.28|0.8170000000000001|0.778|1.595|3|2|0.0087|0.0023|0.112|0.0139|0.0104|0.0202|190.58255416666665|0.42255833333333337|12 42 19.813|0 25 21.21|14.555|71.90905597824957
308|311|104 440|12.0|42.0|14.3|0.0|24.0|46.3|15.114|0.44|-0.227|0.289|0.317|0.605|11|5|0.0081|0.0084|0.0103|0.0069|0.0232|0.0262|190.5595833333333|0.4128611111111111|12 42 14.3|0 24 46.3|14.825|71.93358617048936
309|308|104 430|12.0|41.0|50.25899999999999|0.0|25.0|52.44|13.858|0.652|0.131|0.364|0.363|0.727|15|8|0.0052|0.0062|0.0085|0.0046|0.0041|0.0065|190.4594125|0.43123333333333336|12 41 50.25899999999999|0 25 52.44|13.493999999999998|72.0073690782942
310|305|104 423|12.0|41.0|35.959|0.0|31.0|11.26|15.602|0.63|0.05|0.262|0.5589999999999999|0.818|2|1|0.0247|0.0389|0.0269|0.0361|0.1167|0.152|190.39982916666665|0.5197944444444444|12 41 35.959|0 31 11.26|15.34|72.00890030733093
311|306|104 428|12.0|41.0|41.284|0.0|26.0|26.13|12.63|0.985|0.748|0.534|0.49700000000000005|1.032|25|16|0.0038|0.0028|0.0044|0.0024|0.0018|0.0036|190.42201666666665|0.44059166666666666|12 41 41.284|0 26 26.13|12.095999999999998|72.03356511183534
312|307|104 L1|12.0|41.0|49.42|0.0|21.0|1.2|14.608|0.63|0.064|0.374|0.364|0.7390000000000001|2|1|0.0007|0.0014|0.0127|0.0113|0.0163|0.0042|190.45591666666664|0.3503333333333333|12 41 49.42|0 21 1.2|14.233999999999998|72.05456810454318
313|304|104 306|12.0|41.0|3.619|0.0|37.0|13.83|9.37|1.592|1.666|0.8320000000000001|0.762|1.591|89|68|0.0067|0.003|0.0059|0.002|0.0024|0.0033|190.26507916666665|0.6205083333333333|12 41 3.6189999999999998|0 37 13.83|8.537999999999998|72.06704415414146
314|786|GD 314B|||||||10.831|0.927|0.659|0.51|+0.468|+0.980|13|7|0.0006|0.0008|0.0009|0.0006|0.0005|0.0006|181.32502916666667|60.613302777777776|12 05 18.007|+60 36 47.89|10.321|72.46998136919498
315|785|GD 314A|||||||12.435|0.8540000000000001|0.441|0.479|+0.462|+0.942|13|7|0.0009|0.0015|0.0017|0.0010|0.0005|0.0005|181.270325|60.58664444444446|12 05 04.878|+60 35 11.92|11.956|72.51474248884425
316|784|GD 314|||||||13.568|-0.344|-1.25|-0.149|-0.179|-0.328|14|7|0.0009|0.0010|0.0011|0.0020|0.0025|0.0028|181.16056666666665|60.535577777777775|12 04 38.536|+60 32 08.08|13.717|72.60531263214219
317|783|GD 314D|||||||14.538|1.339|1.202|0.8220000000000001|+0.740|+1.575|7|3|0.0014|0.0047|0.0035|0.0007|0.0007|0.0063|181.0091583333333|60.582772222222225|12 04 02.198|+60 34 57.98|13.716|72.76389309542802
318|782|GD 314C|||||||13.707|0.529|-0.028|0.328|+0.334|+0.659|8|4|0.0023|0.0029|0.0021|0.0017|0.0069|0.0064|181.00665833333332|60.63014722222222|12 04 01.598|+60 37 48.53|13.379|72.77982730194158
319|781|GD 314E|||||||15.014|0.8029999999999999|0.406|0.477|+0.436|+0.918|7|3|0.0014|0.0054|0.0021|0.0035|0.0028|0.0014|180.9467458333333|60.53571944444445|12 03 47.219|+60 32 08.59|14.537|72.81030295907992
320|780|KUV 352-09|||||||12.967|-0.146|-0.6459999999999999|-0.065|-0.075|-0.154|7|3|0.0014|0.0038|0.0037|0.0026|0.0066|0.0014|174.10160833333333|39.492744444444455|11 36 24.386|+39 29 33.88|13.032|76.64404943365035
321|908|SA 41-620|||||||14.175999999999998|0.77|0.305|0.468|+0.475|+0.940|2|1|0.0071|0.0049|0.0099|0.0085|0.0057|0.0028|328.2971083333333|45.60586944444446|21 53 11.306|+45 36 21.13|13.707999999999998|77.76836368158848
322|910|SA 41-625|||||||14.205|0.8759999999999999|0.373|0.496|+0.509|+1.006|2|1|0.0071|0.0156|0.0212|0.0071|0.0064|0.0014|328.3220625|45.587427777777776|21 53 17.295|+45 35 14.74|13.709000000000001|77.79187674977007
323|909|SA 41-626|||||||14.058|0.911|0.687|0.509|+0.451|+0.954|2|1|0.0057|0.0035|0.0460|0.0078|0.0035|0.0035|328.3219291666666|45.62346666666666|21 53 17.263|+45 37 24.48|13.549000000000001|77.7944284893714
324|911|SA 41-630|||||||14.986|1.039|0.787|0.593|+0.513|+1.105|2|1|0.0163|0.0297|0.0035|0.0141|0.0007|0.0141|328.34795|45.638155555555564|21 53 23.508|+45 38 17.36|14.393|77.82147523720704
325|912|SA 41-631|||||||13.39|0.246|-0.106|0.16699999999999998|+0.196|+0.374|27|12|0.0014|0.0010|0.0018|0.0009|0.0011|0.0013|328.35233749999986|45.59585833333333|21 53 24.561|+45 35 45.09|13.222999999999999|77.82269448049017
326|913|SA 41-634|||||||13.164|0.738|0.217|0.448|+0.455|+0.902|14|7|0.0006|0.0015|0.0019|0.0010|0.0026|0.0025|328.3633708333333|45.59470833333334|21 53 27.209|+45 35 40.95|12.716|77.8336118118188
327|914|SA 41-637|||||||14.425999999999998|1.199|0.8|0.69|+0.673|+1.360|20|10|0.0013|0.0012|0.0103|0.0015|0.0025|0.0034|328.37673333333333|45.60306666666667|21 53 30.416|+45 36 11.04|13.736|77.84755887919043
328|915|SA 41-638|||||||14.045|0.736|0.131|0.436|+0.461|+0.894|2|1|0.0021|0.0049|0.0304|0.0064|0.0177|0.0113|328.38579583333325|45.616805555555565|21 53 32.591|+45 37 00.50|13.609000000000002|77.85761968148944
329|916|SA 41-639|||||||14.13|1.32|1.045|0.754|+0.716|+1.472|17|8|0.0006|0.0015|0.0118|0.0027|0.0017|0.0032|328.3905958333333|45.572486111111104|21 53 33.743|+45 34 20.95|13.376|77.85911377090089
330|917|SA 41-654|||||||10.038|0.619|0.207|0.344|+0.312|+0.658|13|6|0.0003|0.0008|0.0023|0.0004|0.0007|0.0008|328.46942916666666|45.552013888888894|21 53 52.663|+45 33 07.25|9.693999999999999|77.93622022432079
331|918|SA 41-660|||||||12.804|0.225|0.081|0.147|+0.169|+0.319|25|11|0.0015|0.0014|0.0015|0.0005|0.0012|0.0015|328.48699166666665|45.53990555555556|21 53 56.878|+45 32 23.66|12.657|77.95284409674838
332|919|SA 41-171|||||||11.144|0.315|0.185|0.181|+0.206|+0.388|14|7|0.0018|0.0017|0.0006|0.0013|0.0010|0.0011|328.52071666666666|45.220436111111106|21 54 04.972|+45 13 13.57|10.963|77.96365766307629
333|922|SA 41-179|||||||11.868|0.498|0.177|0.29100000000000004|+0.296|+0.586|9|4|0.0017|0.0014|0.0029|0.0011|0.0019|0.0004|328.54353333333324|45.27530833333334|21 54 10.448|+45 16 31.11|11.577|77.99024520919862
334|920|SA 41-673|||||||14.098|0.235|-0.198|0.155|+0.180|+0.334|33|15|0.0014|0.0018|0.0023|0.0019|0.0031|0.0019|328.52985416666667|45.54390555555555|21 54 07.165|+45 32 38.06|13.943|77.99588466851128
335|921|SA 41-674|||||||14.56|1.051|0.831|0.664|+0.595|+1.260|9|4|0.0030|0.0033|0.0101|0.0052|0.0011|0.0065|328.5313208333333|45.53529166666666|21 54 07.517|+45 32 07.05|13.895999999999999|77.99671462833703
336|923|SA 41-182|||||||9.969|0.307|0.159|0.182|+0.197|+0.381|15|8|0.0009|0.0011|0.0007|0.0006|0.0010|0.0012|328.55244583333325|45.24347222222222|21 54 12.587|+45 14 36.50|9.787|77.99691166307957
337|924|SA 41-190|||||||10.367|0.289|0.07400000000000001|0.165|+0.166|+0.332|17|8|0.0012|0.0008|0.0009|0.0004|0.0004|0.0010|328.57581249999987|45.256269444444435|21 54 18.195|+45 15 22.57|10.202000000000002|78.02111380673533
338|925|SA 41-204|||||||10.973|1.743|2.064|1.075|+1.163|+2.242|17|8|0.0033|0.0016|0.0075|0.0012|0.0011|0.0020|328.63169583333325|45.23094166666666|21 54 31.607|+45 13 51.39|9.898|78.07509836580729
339|778|GD 310B|||||||14.2|0.978|0.8320000000000001|0.595|+0.541|+1.137|16|8|0.0013|0.0014|0.0052|0.0016|0.0027|0.0029|172.39772499999995|38.136833333333335|11 29 35.454|+38 08 12.60|13.605|78.36514477900405
340|777|GD 310A|||||||14.057|0.54|-0.073|0.341|+0.356|+0.698|15|8|0.0012|0.0015|0.0018|0.0016|0.0021|0.0025|172.37457499999996|38.15391388888889|11 29 29.898|+38 09 14.09|13.716|78.387926723527
341|775|GD 310C|||||||13.911|0.892|0.6679999999999999|0.496|+0.426|+0.924|15|8|0.0017|0.0013|0.0033|0.0011|0.0022|0.0028|172.35829166666664|38.10333611111111|11 29 25.990|+38 06 12.01|13.415|78.40529123208756
342|773|GD 310|||||||15.009|-0.17800000000000002|-1.002|-0.116|-0.139|-0.250|16|8|0.0010|0.0009|0.0009|0.0024|0.0090|0.0106|172.29551249999992|38.14767777777778|11 29 10.923|+38 08 51.64|15.125|78.4671034751039
343|779|PG1126+469A|||||||12.77|0.639|0.149|0.365|+0.350|+0.720|1|1| ... | ... | ... | ... | ... | ... |172.40241249999997|46.595830555555565|11 29 36.579|+46 35 44.99|12.405|78.6358998339509
344|496|Mark A4|20.0|43.0|53.555|-10.0|45.0|5.17|14.767|0.795|0.17600000000000002|0.471|0.475|0.9520000000000001|22|11|0.002|0.003|0.004|0.0031|0.0036|0.0052|310.97314583333326|-10.751436111111113|20 43 53.555|-10 45 5.17|14.296|78.6378818503088
345|497|Mark A2|20.0|43.0|54.99800000000001|-10.0|45.0|31.29|14.54|0.6659999999999999|0.096|0.379|0.371|0.7509999999999999|21|10|0.0028|0.0031|0.0046|0.0024|0.005|0.0059|310.9791583333333|-10.758691666666667|20 43 54.998000000000005|-10 45 31.29|14.161|78.64715189247624
346|776|PG1126+469|||||||14.574000000000002|-0.136|-0.6859999999999999|-0.073|-0.081|-0.147|1|1| ... | ... | ... | ... | ... | ... |172.36946249999997|46.59215277777778|11 29 28.671|+46 35 31.75|14.647000000000002|78.6684098411143
347|498|Mark A1|20.0|43.0|58.451|-10.0|47.0|12.27|15.911|0.609|-0.014|0.3670000000000001|0.373|0.74|25|10|0.004|0.009|0.0136|0.0044|0.0128|0.0148|310.99354583333326|-10.786741666666664|20 43 58.451|-10 47 12.27|15.544|78.67620765957618
