|IAU_Name|ObjectName|RA_hhmmss|DEC_ddmmss|Redshift|RefStarRegFile|RefStarID|Rmag|Rmag_err|NoteIdx|Note
45|0954+658|S40954+65|09 58 47.2|+65 33 55|0.368|RefStars_S40954+65_fk5.reg|1|12.56|0.02|2|notRecommend
46|0954+658|S40954+65|09 58 47.2|+65 33 55|0.368|RefStars_S40954+65_fk5.reg|2|13.96|0.03|1|recommend
47|0954+658|S40954+65|09 58 47.2|+65 33 55|0.368|RefStars_S40954+65_fk5.reg|3|14.12|0.02|1|recommend
48|0954+658|S40954+65|09 58 47.2|+65 33 55|0.368|RefStars_S40954+65_fk5.reg|4|14.25|0.03|1|recommend
49|0954+658|S40954+65|09 58 47.2|+65 33 55|0.368|RefStars_S40954+65_fk5.reg|5|14.85|0.02|2|notRecommend
50|0954+658|S40954+65|09 58 47.2|+65 33 55|0.368|RefStars_S40954+65_fk5.reg|6|14.43|0.03|1|recommend
51|0954+658|S40954+65|09 58 47.2|+65 33 55|0.368|RefStars_S40954+65_fk5.reg|7|15.22|0.03|1|recommend
52|0954+658|S40954+65|09 58 47.2|+65 33 55|0.368|RefStars_S40954+65_fk5.reg|8|15.39|0.04|2|notRecommend
53|0954+658|S40954+65|09 58 47.2|+65 33 55|0.368|RefStars_S40954+65_fk5.reg|9|15.69|0.02|2|notRecommend
54|1101+384|Mkn421|11 04 27.3|+38 12 32|0.030021|RefStars_Mkn421_fk5.reg|1|14.04|0.02|1|recommend
55|1101+384|Mkn421|11 04 27.3|+38 12 32|0.030021|RefStars_Mkn421_fk5.reg|2|15.2|0.02|1|recommend
56|1101+384|Mkn421|11 04 27.3|+38 12 32|0.030021|RefStars_Mkn421_fk5.reg|3|15.24|0.03|1|recommend
57|1156+295|4C29.45|11 59 31.8|+29 14 44|0.7290000000000001|RefStars_4C29.45_fk5.reg|1|13.01|0.02|1|recommend
58|1156+295|4C29.45|11 59 31.8|+29 14 44|0.7290000000000001|RefStars_4C29.45_fk5.reg|2|15.0|0.02|1|recommend
59|1156+295|4C29.45|11 59 31.8|+29 14 44|0.7290000000000001|RefStars_4C29.45_fk5.reg|3|15.54|0.02|1|recommend
60|1156+295|4C29.45|11 59 31.8|+29 14 44|0.7290000000000001|RefStars_4C29.45_fk5.reg|4|16.28|0.02|1|recommend
61|1219+285|ON231|12 21 31.7|+28 13 59|0.102|RefStars_ON231_fk5.reg|A|11.72|0.04|1|recommend
62|1219+285|ON231|12 21 31.7|+28 13 59|0.102|RefStars_ON231_fk5.reg|C1|16.03|0.1|1|recommend
63|1219+285|ON231|12 21 31.7|+28 13 59|0.102|RefStars_ON231_fk5.reg|D|13.86|0.04|1|recommend
64|1226+023|3C273|12 29 06.7|+02 03 09|0.158339|RefStars_3C273_fk5.reg|C|11.3|0.04|1|recommend
65|1226+023|3C273|12 29 06.7|+02 03 09|0.158339|RefStars_3C273_fk5.reg|D|12.31|0.04|1|recommend
66|1226+023|3C273|12 29 06.7|+02 03 09|0.158339|RefStars_3C273_fk5.reg|E|12.27|0.05|1|recommend
67|1226+023|3C273|12 29 06.7|+02 03 09|0.158339|RefStars_3C273_fk5.reg|G|13.16|0.05|1|recommend
68|1253-055|3C279|12 56 11.1|-05 47 22|0.5362|RefStars_3C279_fk5.reg|1|12.05|0.02|1|recommend
69|1253-055|3C279|12 56 11.1|-05 47 22|0.5362|RefStars_3C279_fk5.reg|2|12.56|0.03|1|recommend
