YYYYMMDD	Filter	Target
20140413	R	Mkn421
20140413	R	OJ248
20140413	R	OJ287
20140413	R	OJ49
20140413	R	ON231
20140413	R	PKS0528+134
20140413	R	PKS0735+17
20140413	R	S4_0954+65
20140413	R	S5_0716+71
20140415	R	3C273
20140415	R	3C279
20140415	R	3C345
20140415	R	3C371
20140415	R	4C29-45
20140415	R	4C38-41
20140415	R	4C51-37
20140415	R	DA406
20140415	R	Mkn421
20140415	R	Mkn501
20140415	R	ON231
20140415	R	S4_0954+65
20140416	R	3C273
20140416	R	3C279
20140416	R	3C345
20140416	R	3C371
20140416	R	4C29-45
20140416	R	4C38-41
20140416	R	4C51-37
20140416	R	4C71-07
20140416	R	DA406
20140416	R	Mkn421
20140416	R	Mkn501
20140416	R	OJ49
20140416	R	ON231
20140416	R	PKS0528+134
20140416	R	PKS0735+17
20140416	R	S4_0954+65
20140416	R	S5_0716+71
20140417	R	3C273
20140417	R	3C279
20140417	R	3C345
20140417	R	3C371
20140417	R	4C29-45
20140417	R	4C38-41
20140417	R	4C51-37
20140417	R	4C71-07
20140417	R	DA406
20140417	R	Mkn421
20140417	R	Mkn501
20140417	R	ON231
20140417	R	S4_0954+65
20140418	R	3C279
20140418	R	3C345
20140418	R	4C29-45
20140418	R	4C38-41
20140418	R	4C71-07
20140418	R	DA406
20140418	R	Mkn421
20140418	R	Mkn501
20140418	R	OJ248
20140418	R	OJ287
20140418	R	OJ49
20140418	R	ON231
20140418	R	PKS0528+134
20140418	R	PKS0735+17
20140418	R	S4_0954+65
20140418	R	S5_0716+71
20140419	R	3C273
20140419	R	3C279
20140419	R	4C29-45
20140419	R	4C71-07
20140419	R	Mkn421
20140419	R	OJ248
20140419	R	OJ287
20140419	R	OJ49
20140419	R	ON231
20140419	R	PKS0735+17
20140419	R	S4_0954+65
20140419	R	S5_0716+71
20140420	R	3C345
20140420	R	3C371
20140420	R	3C454-3
20140420	R	4C38-41
20140420	R	4C51-37
20140420	R	CTA102
20140420	R	DA406
20140420	R	Mkn501
20140421	R	3C273
20140421	R	3C345
20140421	R	3C371
20140421	R	4C29-45
20140421	R	4C38-41
20140421	R	4C51-37
20140421	R	4C71-07
20140421	R	DA406
20140421	R	Mkn421
20140421	R	Mkn501
20140421	R	OJ248
20140421	R	OJ287
20140421	R	OJ49
20140421	R	ON231
20140421	R	PKS0528+134
20140421	R	PKS0735+17
20140421	R	S4_0954+65
20140421	R	S5_0716+71
20140422	R	3C273
20140422	R	3C345
20140422	R	4C29-45
20140422	R	4C38-41
20140422	R	4C51-37
20140422	R	DA406
20140422	R	Mkn501
20140422	R	ON231
20140425	R	3C273
20140425	R	3C345
20140425	R	3C371
20140425	R	4C29-45
20140425	R	4C38-41
20140425	R	4C51-37
20140425	R	4C71-07
20140425	R	DA406
20140425	R	Mkn421
20140425	R	Mkn501
20140425	R	ON231
20140425	R	S4_0954+65
20140427	R	3C345
20140427	R	3C371
20140427	R	4C29-45
20140427	R	4C38-41
20140427	R	4C51-37
20140427	R	DA406
20140427	R	Mkn501
20140427	R	ON231
20140428	R	3C273
20140428	R	3C345
20140428	R	3C371
20140428	R	4C29-45
20140428	R	4C38-41
20140428	R	4C51-37
20140428	R	DA406
20140428	R	Mkn421
20140428	R	Mkn501
20140428	R	ON231
20140428	R	S4_0954+65
20140516	R	3C273
20140516	R	3C345
20140516	R	3C371
20140516	R	3C454-3
20140516	R	4C29-45
20140516	R	4C38-41
20140516	R	4C51-37
20140516	R	4C71-07
20140516	R	CTA102
20140516	R	DA406
20140516	R	Mkn421
20140516	R	Mkn501
20140516	R	OJ248
20140516	R	OJ287
20140516	R	OJ49
20140516	R	ON231
20140516	R	PKS0735+17
20140516	R	PKS2155-304
20140516	R	S4_0954+65
20140516	R	S5_0716+71
20140524	R	3C345
20140524	R	3C371
20140524	R	3C454-3
20140524	R	4C38-41
20140524	R	4C51-37
20140524	R	CTA102
20140524	R	DA406
20140524	R	Mkn501
20140524	R	PKS2155-304
20140525	R	3C345
20140525	R	3C371
20140525	R	3C454-3
20140525	R	4C38-41
20140525	R	4C51-37
20140525	R	CTA102
20140525	R	DA406
20140525	R	Mkn501
20140526	R	3C273
20140526	R	4C29-45
20140526	R	DA406
20140526	R	Mkn421
20140526	R	ON231
20140526	R	S4_0954+65
20140527	R	4C71-07
20140527	R	OJ248
20140527	R	OJ287
20140527	R	OJ49
20140527	R	PKS0735+17
20140527	R	S4_0954+65
20140527	R	S5_0716+71
20140528	R	3C345
20140528	R	4C38-41
20140528	R	DA406
20140529	R	3C345
20140529	R	3C371
20140529	R	3C454-3
20140529	R	4C29-45
20140529	R	4C38-41
20140529	R	4C51-37
20140529	R	CTA102
20140529	R	DA406
20140529	R	Mkn501
20140529	R	ON231
20140601	R	4C71-07
20140601	R	Mkn421
20140601	R	OJ248
20140601	R	OJ287
20140601	R	OJ49
20140601	R	PKS0735+17
20140601	R	S4_0954+65
20140601	R	S5_0716+71
20140604	R	3C345
20140604	R	4C38-41
20140604	R	DA406
20140604	R	Mkn501
20140604	R	OJ248
20140604	R	OJ287
20140604	R	OJ49
20140604	R	S5_0716+71
20140620	R	3C345
20140620	R	3C371
20140620	R	3C454-3
20140620	R	3C66A
20140620	R	4C38-41
20140620	R	4C51-37
20140620	R	AO0235+16
20140620	R	CTA102
20140620	R	DA406
20140620	R	Mkn501
20140620	R	PKS2155-304
20140625	R	3C345
20140625	R	3C371
20140625	R	3C454-3
20140625	R	4C38-41
20140625	R	4C51-37
20140625	R	CTA102
20140625	R	DA406
20140625	R	Mkn501
20140625	R	PKS2155-304
20140630	R	3C345
20140630	R	3C371
20140630	R	3C454-3
20140630	R	3C66A
20140630	R	4C38-41
20140630	R	4C51-37
20140630	R	AO0235+16
20140630	R	CTA102
20140630	R	DA406
20140630	R	Mkn501
20140630	R	PKS2155-304
20140701	R	3C345
20140701	R	3C371
20140701	R	3C454-3
20140701	R	3C66A
20140701	R	4C38-41
20140701	R	4C51-37
20140701	R	AO0235+16
20140701	R	CTA102
20140701	R	DA406
20140701	R	Mkn501
20140701	R	PKS2155-304
20140702	R	3C345
20140702	R	3C371
20140702	R	3C454-3
20140702	R	4C38-41
20140702	R	4C51-37
20140702	R	CTA102
20140702	R	DA406
20140702	R	Mkn501
20140702	R	PKS2155-304
20140703	R	PKS2155-304
20140705	R	PKS2155-304
20140706	R	3C345
20140706	R	3C371
20140706	R	3C454-3
20140706	R	4C38-41
20140706	R	4C51-37
20140706	R	CTA102
20140706	R	DA406
20140706	R	Mkn501
20140706	R	PKS2155-304
20140708	R	PKS2155-304
20140709	R	3C345
20140709	R	3C371
20140709	R	4C38-41
20140709	R	4C51-37
20140709	R	CTA102
20140709	R	DA406
20140709	R	Mkn501
20140709	R	PKS2155-304
20140711	R	3C345
20140711	R	3C371
20140711	R	3C454-3
20140711	R	3C66A
20140711	R	4C38-41
20140711	R	4C51-37
20140711	R	AO0235+16
20140711	R	CTA102
20140711	R	Mkn501
20140711	R	PKS2155-304
20140712	R	3C371
20140712	R	4C51-37
20140712	R	CTA102
20140712	R	PKS2155-304
20140713	R	3C371
20140713	R	3C454-3
20140713	R	3C66A
20140713	R	4C51-37
20140713	R	AO0235+16
20140713	R	CTA102
20140713	R	Mkn501
20140713	R	PKS2155-304
20140714	R	3C345
20140714	R	3C371
20140714	R	3C454-3
20140714	R	3C66A
20140714	R	4C38-41
20140714	R	4C51-37
20140714	R	AO0235+16
20140714	R	CTA102
20140714	R	Mkn501
20140714	R	PKS2155-304
20140715	R	3C345
20140715	R	3C371
20140715	R	3C454-3
20140715	R	4C38-41
20140715	R	4C51-37
20140715	R	CTA102
